Financial Year,Period,Line,Actual KMs in Peak,Scheduled KMs in Peak,Actual KMs in Off Peak,Scheduled KMs in Off Peak,Actual KMs Total,Scheduled KMs Total,,,,
2016-17,10,District," 175,206 "," 181,882 "," 507,231 "," 518,388 "," 682,437 "," 700,270 ",,,,
2016-17,10,Jubilee," 209,593 "," 210,368 "," 592,676 "," 596,094 "," 802,268 "," 806,462 ",,,,
2016-17,10,Metropolitan," 153,681 "," 157,839 "," 416,728 "," 423,419 "," 570,409 "," 581,257 ",,,,
2016-17,10,Northern," 283,008 "," 285,806 "," 816,341 "," 820,168 "," 1,099,349 "," 1,105,974 ",,,,
2016-17,10,Piccadilly," 198,446 "," 234,595 "," 609,726 "," 693,945 "," 808,172 "," 928,540 ",,,,
2016-17,10,Victoria," 152,377 "," 158,380 "," 393,561 "," 401,699 "," 545,938 "," 560,079 ",,,,
2016-17,10,Waterloo & City," 9,437 "," 9,644 "," 15,473 "," 15,527 "," 24,911 "," 25,171 ",,,,
2016-17,11,Bakerloo," 67,770 "," 75,562 "," 208,624 "," 220,794 "," 276,394 "," 296,356 ",,,,
2016-17,11,C&H," 68,196 "," 75,434 "," 231,030 "," 255,275 "," 299,226 "," 330,709 ",,,,
2016-17,11,Central," 248,800 "," 279,858 "," 734,015 "," 782,416 "," 982,815 "," 1,062,274 ",,,,
2016-17,11,District," 200,815 "," 209,096 "," 565,845 "," 584,305 "," 766,660 "," 793,401 ",,,,
2016-17,11,Jubilee," 214,196 "," 221,783 "," 538,732 "," 557,021 "," 752,928 "," 778,804 ",,,,
2016-17,11,Metropolitan," 168,101 "," 171,986 "," 372,674 "," 378,382 "," 540,776 "," 550,368 ",,,,
2016-17,11,Northern," 289,254 "," 298,881 "," 870,967 "," 890,279 "," 1,160,221 "," 1,189,160 ",,,,
2016-17,11,Piccadilly," 224,357 "," 249,433 "," 686,890 "," 750,268 "," 911,247 "," 999,701 ",,,,
2016-17,11,Victoria," 149,946 "," 170,611 "," 404,510 "," 437,576 "," 554,456 "," 608,187 ",,,,
2016-17,11,Waterloo & City," 10,284 "," 11,230 "," 15,756 "," 16,894 "," 26,040 "," 28,124 ",,,,
2016-17,12,Bakerloo," 71,671 "," 75,563 "," 211,219 "," 217,527 "," 282,890 "," 293,090 ",,,,
2016-17,12,C&H," 69,796 "," 75,489 "," 232,805 "," 246,871 "," 302,601 "," 322,360 ",,,,
2016-17,12,Central," 262,125 "," 280,002 "," 750,861 "," 782,269 "," 1,012,987 "," 1,062,271 ",,,,
2016-17,12,District," 197,799 "," 209,105 "," 565,164 "," 585,779 "," 762,963 "," 794,884 ",,,,
2016-17,12,Jubilee," 214,335 "," 222,052 "," 631,905 "," 642,840 "," 846,240 "," 864,892 ",,,,
2016-17,12,Metropolitan," 165,795 "," 171,986 "," 429,005 "," 441,591 "," 594,800 "," 613,577 ",,,,
2016-17,12,Northern," 292,467 "," 299,046 "," 882,284 "," 890,106 "," 1,174,751 "," 1,189,152 ",,,,
2016-17,12,Piccadilly," 234,551 "," 249,652 "," 708,434 "," 750,108 "," 942,984 "," 999,760 ",,,,
2016-17,12,Victoria," 167,351 "," 170,705 "," 434,056 "," 437,765 "," 601,407 "," 608,470 ",,,,
2016-17,12,Waterloo & City," 10,472 "," 11,230 "," 16,083 "," 16,894 "," 26,555 "," 28,124 ",,,,
2016-17,13,Bakerloo," 72,040 "," 75,562 "," 202,395 "," 210,080 "," 274,435 "," 285,642 ",,,,
2016-17,13,C&H," 72,346 "," 75,497 "," 225,284 "," 235,257 "," 297,631 "," 310,754 ",,,,
2016-17,13,Central," 264,402 "," 279,997 "," 722,361 "," 742,532 "," 986,763 "," 1,022,529 ",,,,
2016-17,13,District," 203,406 "," 209,108 "," 544,831 "," 551,540 "," 748,238 "," 760,648 ",,,,
2016-17,13,Jubilee," 220,957 "," 222,062 "," 607,458 "," 610,473 "," 828,415 "," 832,535 ",,,,
2016-17,13,Metropolitan," 168,194 "," 171,993 "," 421,813 "," 430,400 "," 590,007 "," 602,393 ",,,,
2016-17,13,Northern," 297,089 "," 298,979 "," 809,268 "," 813,762 "," 1,106,357 "," 1,112,741 ",,,,
2016-17,13,Piccadilly," 237,894 "," 249,641 "," 679,356 "," 712,427 "," 917,250 "," 962,068 ",,,,
2016-17,13,Victoria," 167,493 "," 170,705 "," 410,978 "," 415,237 "," 578,471 "," 585,942 ",,,,
2016-17,13,Waterloo & City," 10,638 "," 11,230 "," 15,965 "," 16,088 "," 26,602 "," 27,318 ",,,,
2017-18,1,Bakerloo," 70,856 "," 75,022 "," 220,698 "," 228,955 "," 291,554 "," 303,977 ",,,,
2017-18,1,C&H," 70,964 "," 72,841 "," 250,512 "," 257,553 "," 321,476 "," 330,394 ",,,,
2017-18,1,Central," 265,884 "," 276,833 "," 794,919 "," 812,955 "," 1,060,802 "," 1,089,788 ",,,,
2017-18,1,District," 194,132 "," 199,905 "," 583,395 "," 592,535 "," 777,528 "," 792,440 ",,,,
2017-18,1,Jubilee," 213,984 "," 219,083 "," 655,395 "," 669,840 "," 869,380 "," 888,923 ",,,,
2017-18,1,Metropolitan," 156,725 "," 159,648 "," 428,531 "," 436,547 "," 585,256 "," 596,195 ",,,,
2017-18,1,Northern," 294,661 "," 296,243 "," 907,670 "," 915,083 "," 1,202,331 "," 1,211,327 ",,,,
2017-18,1,Piccadilly," 235,576 "," 245,526 "," 738,377 "," 778,909 "," 973,953 "," 1,024,435 ",,,,
2017-18,1,Victoria," 156,719 "," 160,620 "," 420,680 "," 423,176 "," 577,400 "," 583,797 ",,,,
2017-18,1,Waterloo & City," 10,034 "," 10,632 "," 16,629 "," 16,614 "," 26,662 "," 27,246 ",,,,
2017-18,2,Bakerloo," 72,502 "," 75,349 "," 216,053 "," 220,781 "," 288,555 "," 296,130 ",,,,
2017-18,2,C&H," 71,986 "," 75,650 "," 252,395 "," 266,826 "," 324,382 "," 342,475 ",,,,
2017-18,2,Central," 260,811 "," 278,491 "," 761,895 "," 782,135 "," 1,022,706 "," 1,060,626 ",,,,
2017-18,2,District," 193,512 "," 198,530 "," 564,051 "," 576,775 "," 757,563 "," 775,305 ",,,,
2017-18,2,Jubilee," 218,962 "," 220,653 "," 639,674 "," 642,680 "," 858,636 "," 863,333 ",,,,
2017-18,2,Metropolitan," 166,164 "," 169,946 "," 452,478 "," 459,528 "," 618,642 "," 629,473 ",,,,
2017-18,2,Northern," 290,160 "," 292,594 "," 848,180 "," 853,648 "," 1,138,340 "," 1,146,241 ",,,,
2017-18,2,Piccadilly," 234,162 "," 247,853 "," 700,210 "," 749,632 "," 934,372 "," 997,486 ",,,,
2017-18,2,Victoria," 169,000 "," 170,363 "," 435,543 "," 437,501 "," 604,542 "," 607,864 ",,,,
2017-18,2,Waterloo & City," 10,601 "," 10,934 "," 16,617 "," 16,751 "," 27,218 "," 27,685 ",,,,
2017-18,3,Bakerloo," 72,640 "," 75,467 "," 215,898 "," 220,901 "," 288,538 "," 296,368 ",,,,
2017-18,3,C&H," 64,148 "," 76,065 "," 198,998 "," 243,992 "," 263,146 "," 320,057 ",,,,
2017-18,3,Central," 258,564 "," 278,782 "," 756,308 "," 781,843 "," 1,014,872 "," 1,060,626 ",,,,
2017-18,3,District," 196,412 "," 206,671 "," 532,160 "," 546,265 "," 728,572 "," 752,936 ",,,,
2017-18,3,Jubilee," 216,295 "," 220,972 "," 632,547 "," 642,479 "," 848,842 "," 863,451 ",,,,
