Financial Year,Period,Line,Actual KMs in Peak,Scheduled KMs in Peak,Actual KMs in Off Peak,Scheduled KMs in Off Peak,Actual KMs Total,Scheduled KMs Total,,,,
2019-20,8,District," 202,803 "," 210,173 "," 495,194 "," 507,457 "," 697,997 "," 717,630 ",,,,
2019-20,8,Jubilee," 186,119 "," 222,560 "," 597,266 "," 652,748 "," 783,385 "," 875,308 ",,,,
2019-20,8,Metropolitan," 165,793 "," 176,580 "," 457,822 "," 480,960 "," 623,615 "," 657,540 ",,,,
2019-20,8,Northern," 295,529 "," 304,360 "," 876,531 "," 890,128 "," 1,172,060 "," 1,194,488 ",,,,
2019-20,8,Piccadilly," 234,131 "," 238,192 "," 711,592 "," 735,650 "," 945,723 "," 973,842 ",,,,
2019-20,8,Victoria," 167,856 "," 176,000 "," 426,346 "," 440,527 "," 594,202 "," 616,527 ",,,,
2019-20,8,Waterloo & City," 10,879 "," 11,320 "," 17,442 "," 17,624 "," 28,321 "," 28,944 ",,,,
2019-20,9,Bakerloo," 70,402 "," 76,522 "," 198,279 "," 216,165 "," 268,681 "," 292,687 ",,,,
2019-20,9,C&H," 66,531 "," 75,580 "," 217,155 "," 237,824 "," 283,686 "," 313,404 ",,,,
2019-20,9,Central," 259,010 "," 279,340 "," 717,273 "," 781,800 "," 976,283 "," 1,061,140 ",,,,
2019-20,9,District," 199,403 "," 210,160 "," 553,217 "," 561,480 "," 752,620 "," 771,640 ",,,,
2019-20,9,Jubilee," 189,466 "," 222,560 "," 594,798 "," 652,552 "," 784,264 "," 875,112 ",,,,
2019-20,9,Metropolitan," 167,877 "," 176,494 "," 440,827 "," 459,714 "," 608,704 "," 636,208 ",,,,
2019-20,9,Northern," 295,646 "," 304,360 "," 877,397 "," 889,884 "," 1,173,043 "," 1,194,244 ",,,,
2019-20,9,Piccadilly," 225,286 "," 238,200 "," 692,032 "," 735,647 "," 917,318 "," 973,847 ",,,,
2019-20,9,Victoria," 162,003 "," 178,520 "," 419,209 "," 441,888 "," 581,212 "," 620,408 ",,,,
2019-20,9,Waterloo & City," 11,029 "," 11,320 "," 17,415 "," 17,633 "," 28,444 "," 28,953 ",,,,
2019-20,10,Bakerloo," 61,720 "," 68,142 "," 192,688 "," 208,099 "," 254,408 "," 276,241 ",,,,
2019-20,10,C&H," 66,199 "," 70,247 "," 215,023 "," 230,472 "," 281,222 "," 300,719 ",,,,
2019-20,10,Central," 230,093 "," 244,170 "," 691,584 "," 740,051 "," 921,677 "," 984,221 ",,,,
2019-20,10,District," 177,694 "," 183,471 "," 535,719 "," 539,244 "," 713,413 "," 722,715 ",,,,
2019-20,10,Jubilee," 183,683 "," 196,525 "," 592,309 "," 617,512 "," 775,992 "," 814,037 ",,,,
2019-20,10,Metropolitan," 141,370 "," 151,950 "," 424,420 "," 449,040 "," 565,790 "," 600,990 ",,,,
2019-20,10,Northern," 253,301 "," 260,919 "," 819,504 "," 828,566 "," 1,072,805 "," 1,089,485 ",,,,
2019-20,10,Piccadilly," 207,072 "," 215,265 "," 673,215 "," 706,860 "," 880,287 "," 922,125 ",,,,
2019-20,10,Victoria," 145,898 "," 152,544 "," 399,156 "," 417,244 "," 545,054 "," 569,788 ",,,,
2019-20,10,Waterloo & City," 8,806 "," 8,922 "," 15,033 "," 15,255 "," 23,839 "," 24,177 ",,,,
2019-20,11,Bakerloo," 70,048 "," 76,503 "," 208,995 "," 219,844 "," 279,043 "," 296,347 ",,,,
2019-20,11,C&H," 71,056 "," 75,567 "," 239,406 "," 258,950 "," 310,462 "," 334,517 ",,,,
2019-20,11,Central," 261,668 "," 278,705 "," 749,077 "," 786,017 "," 1,010,745 "," 1,064,722 ",,,,
2019-20,11,District," 204,445 "," 210,060 "," 575,485 "," 576,460 "," 779,930 "," 786,520 ",,,,
2019-20,11,Jubilee," 210,236 "," 222,560 "," 594,029 "," 609,158 "," 804,265 "," 831,718 ",,,,
2019-20,11,Metropolitan," 166,893 "," 176,168 "," 415,496 "," 437,899 "," 582,389 "," 614,067 ",,,,
2019-20,11,Northern," 297,492 "," 303,640 "," 883,877 "," 889,164 "," 1,181,369 "," 1,192,804 ",,,,
2019-20,11,Piccadilly," 240,473 "," 251,892 "," 699,755 "," 734,436 "," 940,228 "," 986,328 ",,,,
2019-20,11,Victoria," 169,707 "," 178,520 "," 432,654 "," 441,949 "," 602,361 "," 620,469 ",,,,
2019-20,11,Waterloo & City," 11,072 "," 11,320 "," 17,583 "," 17,776 "," 28,655 "," 29,096 ",,,,
2019-20,12,Bakerloo," 67,308 "," 76,520 "," 185,570 "," 216,583 "," 252,878 "," 293,103 ",,,,
2019-20,12,C&H," 69,519 "," 75,580 "," 206,808 "," 224,311 "," 276,327 "," 299,891 ",,,,
2019-20,12,Central," 260,734 "," 276,800 "," 737,330 "," 798,772 "," 998,064 "," 1,075,572 ",,,,
2019-20,12,District," 201,559 "," 210,060 "," 502,734 "," 519,771 "," 704,293 "," 729,831 ",,,,
2019-20,12,Jubilee," 211,635 "," 222,560 "," 633,981 "," 652,552 "," 845,616 "," 875,112 ",,,,
2019-20,12,Metropolitan," 166,304 "," 176,207 "," 454,123 "," 475,052 "," 620,427 "," 651,259 ",,,,
2019-20,12,Northern," 299,202 "," 303,625 "," 868,830 "," 873,890 "," 1,168,032 "," 1,177,515 ",,,,
2019-20,12,Piccadilly," 233,276 "," 252,080 "," 645,896 "," 711,869 "," 879,172 "," 963,949 ",,,,
2019-20,12,Victoria," 170,369 "," 178,520 "," 427,517 "," 441,986 "," 597,886 "," 620,506 ",,,,
2019-20,12,Waterloo & City," 11,067 "," 11,320 "," 17,527 "," 17,772 "," 28,594 "," 29,092 ",,,,
2019-20,13,Bakerloo," 59,616 "," 82,118 "," 161,648 "," 225,325 "," 221,264 "," 307,443 ",,,,
2019-20,13,C&H," 54,833 "," 83,138 "," 187,244 "," 296,138 "," 242,077 "," 379,276 ",,,,
2019-20,13,Central," 219,938 "," 292,810 "," 639,054 "," 854,570 "," 858,992 "," 1,147,380 ",,,,
2019-20,13,District," 186,216 "," 230,107 "," 526,634 "," 664,265 "," 712,850 "," 894,372 ",,,,
2019-20,13,Jubilee," 186,680 "," 246,370 "," 496,270 "," 673,272 "," 682,950 "," 919,642 ",,,,
2019-20,13,Metropolitan," 152,215 "," 193,842 "," 387,821 "," 496,809 "," 540,036 "," 690,651 ",,,,
2019-20,13,Northern," 259,733 "," 334,004 "," 740,336 "," 967,808 "," 1,000,069 "," 1,301,812 ",,,,
2019-20,13,Piccadilly," 224,570 "," 277,220 "," 644,583 "," 833,077 "," 869,153 "," 1,110,297 ",,,,
2019-20,13,Victoria," 133,688 "," 186,082 "," 340,143 "," 475,161 "," 473,831 "," 661,243 ",,,,
2019-20,13,Waterloo & City," 6,891 "," 12,452 "," 10,902 "," 19,224 "," 17,793 "," 31,676 ",,,,
2020-21,1,Bakerloo," 41,547 "," 65,090 "," 121,896 "," 204,224 "," 163,443 "," 269,314 ",,,,
2020-21,1,C&H," 25,407 "," 73,886 "," 85,387 "," 244,215 "," 110,794 "," 318,101 ",,,,
2020-21,1,Central," 132,313 "," 184,115 "," 344,918 "," 601,599 "," 477,231 "," 785,714 ",,,,
2020-21,1,District," 103,405 "," 174,429 "," 298,852 "," 568,317 "," 402,257 "," 742,746 ",,,,
2020-21,1,Jubilee," 124,589 "," 158,350 "," 338,877 "," 512,807 "," 463,466 "," 671,157 ",,,,
2020-21,1,Metropolitan," 93,104 "," 145,493 "," 282,104 "," 476,058 "," 375,208 "," 621,551 ",,,,
2020-21,1,Northern," 160,869 "," 250,346 "," 464,202 "," 792,321 "," 625,071 "," 1,042,667 ",,,,
2020-21,1,Piccadilly," 118,651 "," 203,510 "," 362,513 "," 665,249 "," 481,164 "," 868,759 ",,,,
2020-21,1,Victoria," 77,665 "," 86,963 "," 191,286 "," 274,109 "," 268,951 "," 361,072 ",,,,
2020-21,1,Waterloo & City, -   ," 11,886 ", -   ," 19,311 ", -   ," 31,197 ",,,,
2020-21,2,Bakerloo," 57,869 "," 66,477 "," 161,635 "," 196,745 "," 219,504 "," 263,222 ",,,,
2020-21,2,C&H," 30,185 "," 68,806 "," 93,551 "," 232,487 "," 123,736 "," 301,293 ",,,,
2020-21,2,Central," 160,272 "," 218,450 "," 377,406 "," 653,310 "," 537,678 "," 871,760 ",,,,
2020-21,2,District," 157,024 "," 176,490 "," 398,899 "," 535,248 "," 555,923 "," 711,738 ",,,,
2020-21,2,Jubilee," 149,864 "," 175,650 "," 383,661 "," 518,298 "," 533,525 "," 693,948 ",,,,
2020-21,2,Metropolitan," 114,892 "," 147,629 "," 309,152 "," 442,035 "," 424,044 "," 589,664 ",,,,
2020-21,2,Northern," 202,314 "," 254,220 "," 531,966 "," 765,764 "," 734,280 "," 1,019,984 ",,,,
2020-21,2,Piccadilly," 157,077 "," 208,772 "," 445,458 "," 643,137 "," 602,535 "," 851,909 ",,,,
2020-21,2,Victoria," 82,899 "," 118,144 "," 173,836 "," 278,665 "," 256,735 "," 396,809 ",,,,
2020-21,2,Waterloo & City, -   ," 6,792 ", -   ," 10,338 ", -   ," 17,130 ",,,,
2020-21,3,Bakerloo," 73,790 "," 76,340 "," 197,790 "," 210,034 "," 271,580 "," 286,374 ",,,,
2020-21,3,C&H," 49,006 "," 75,580 "," 152,948 "," 245,304 "," 201,954 "," 320,884 ",,,,
2020-21,3,Central," 237,100 "," 276,800 "," 569,976 "," 793,552 "," 807,076 "," 1,070,352 ",,,,
2020-21,3,District," 192,697 "," 210,058 "," 473,077 "," 560,516 "," 665,774 "," 770,574 ",,,,
2020-21,3,Jubilee," 207,566 "," 227,000 "," 515,659 "," 652,756 "," 723,225 "," 879,756 ",,,,
2020-21,3,Metropolitan," 149,089 "," 176,220 "," 373,281 "," 483,916 "," 522,370 "," 660,136 ",,,,
2020-21,3,Northern," 286,563 "," 303,640 "," 703,466 "," 874,554 "," 990,029 "," 1,178,194 ",,,,
2020-21,3,Piccadilly," 226,724 "," 252,072 "," 646,766 "," 756,416 "," 873,490 "," 1,008,488 ",,,,
2020-21,3,Victoria," 173,473 "," 178,520 "," 342,573 "," 441,888 "," 516,046 "," 620,408 ",,,,
2020-21,3,Waterloo & City, -   ," 1,132 ", -   ," 1,452 ", -   ," 2,584 ",,,,
2020-21,4,Bakerloo," 73,537 "," 76,340 "," 208,691 "," 218,304 "," 282,228 "," 294,644 ",,,,
2020-21,4,C&H," 62,932 "," 75,580 "," 190,738 "," 228,340 "," 253,670 "," 303,920 ",,,,
2020-21,4,Central," 268,629 "," 276,800 "," 734,964 "," 789,137 "," 1,003,593 "," 1,065,937 ",,,,
2020-21,4,District," 205,060 "," 209,723 "," 515,466 "," 531,195 "," 720,526 "," 740,918 ",,,,
2020-21,4,Jubilee," 219,989 "," 227,000 "," 595,823 "," 642,135 "," 815,812 "," 869,135 ",,,,
2020-21,4,Metropolitan," 152,019 "," 176,220 "," 401,660 "," 483,928 "," 553,679 "," 660,148 ",,,,
2020-21,4,Northern," 296,963 "," 303,640 "," 799,931 "," 867,038 "," 1,096,894 "," 1,170,678 ",,,,
2020-21,4,Piccadilly," 241,486 "," 252,080 "," 638,080 "," 703,829 "," 879,566 "," 955,909 ",,,,
2020-21,4,Victoria," 166,060 "," 178,520 "," 377,239 "," 435,286 "," 543,299 "," 613,806 ",,,,
2020-21,4,Waterloo & City, -   , -   , -   , -   , -   , -   ,,,,
2020-21,5,Bakerloo," 69,398 "," 76,340 "," 193,954 "," 215,030 "," 263,352 "," 291,370 ",,,,
2020-21,5,C&H," 68,498 "," 75,580 "," 197,030 "," 213,816 "," 265,528 "," 289,396 ",,,,
2020-21,5,Central," 267,565 "," 276,789 "," 758,829 "," 784,790 "," 1,026,394 "," 1,061,579 ",,,,
2020-21,5,District," 202,909 "," 209,723 "," 503,192 "," 518,939 "," 706,101 "," 728,662 ",,,,
2020-21,5,Jubilee," 216,737 "," 227,000 "," 618,323 "," 637,464 "," 835,060 "," 864,464 ",,,,
2020-21,5,Metropolitan," 156,827 "," 176,152 "," 425,472 "," 478,493 "," 582,299 "," 654,645 ",,,,
2020-21,5,Northern," 297,374 "," 303,640 "," 844,779 "," 862,142 "," 1,142,153 "," 1,165,782 ",,,,
2020-21,5,Piccadilly," 240,422 "," 252,131 "," 685,217 "," 734,796 "," 925,639 "," 986,927 ",,,,
2020-21,5,Victoria," 172,746 "," 178,520 "," 412,257 "," 432,304 "," 585,003 "," 610,824 ",,,,
2020-21,5,Waterloo & City, -   , -   , -   , -   , -   , -   ,,,,
2020-21,6,Bakerloo," 70,774 "," 76,044 "," 199,034 "," 218,491 "," 269,808 "," 294,535 ",,,,
2020-21,6,C&H," 67,989 "," 73,751 "," 218,936 "," 239,997 "," 286,925 "," 313,748 ",,,,
2020-21,6,Central," 267,543 "," 275,475 "," 763,213 "," 784,255 "," 1,030,756 "," 1,059,730 ",,,,
2020-21,6,District," 196,993 "," 205,150 "," 542,239 "," 555,252 "," 739,232 "," 760,402 ",,,,
2020-21,6,Jubilee," 211,305 "," 225,550 "," 582,819 "," 605,768 "," 794,124 "," 831,318 ",,,,
2020-21,6,Metropolitan," 157,803 "," 174,161 "," 415,121 "," 461,817 "," 572,924 "," 635,978 ",,,,
2020-21,6,Northern," 296,022 "," 299,353 "," 840,084 "," 848,354 "," 1,136,106 "," 1,147,707 ",,,,
2020-21,6,Piccadilly," 239,638 "," 250,036 "," 692,011 "," 734,321 "," 931,649 "," 984,357 ",,,,
2020-21,6,Victoria," 169,552 "," 176,664 "," 406,139 "," 432,151 "," 575,691 "," 608,815 ",,,,
2020-21,6,Waterloo & City, -   , -   , -   , -   , -   , -   ,,,,
2020-21,7,Bakerloo," 70,634 "," 76,340 "," 195,722 "," 218,308 "," 266,356 "," 294,648 ",,,,
2020-21,7,C&H," 67,999 "," 75,580 "," 216,666 "," 244,150 "," 284,665 "," 319,730 ",,,,
2020-21,7,Central," 262,574 "," 276,800 "," 753,592 "," 784,532 "," 1,016,166 "," 1,061,332 ",,,,
2020-21,7,District," 194,149 "," 210,120 "," 518,886 "," 556,872 "," 713,035 "," 766,992 ",,,,
2020-21,7,Jubilee," 220,253 "," 227,000 "," 616,124 "," 637,464 "," 836,377 "," 864,464 ",,,,
2020-21,7,Metropolitan," 161,905 "," 176,400 "," 441,056 "," 480,490 "," 602,961 "," 656,890 ",,,,
2020-21,7,Northern," 294,121 "," 303,640 "," 838,189 "," 868,856 "," 1,132,310 "," 1,172,496 ",,,,
2020-21,7,Piccadilly," 231,592 "," 244,955 "," 687,479 "," 726,904 "," 919,071 "," 971,859 ",,,,
2020-21,7,Victoria," 170,787 "," 178,520 "," 416,413 "," 432,304 "," 587,200 "," 610,824 ",,,,
2020-21,7,Waterloo & City, -   , 566 , -   , 726 , -   ," 1,292 ",,,,
2020-21,8,Bakerloo," 73,552 "," 76,340 "," 203,930 "," 218,312 "," 277,482 "," 294,652 ",,,,
2020-21,8,C&H," 62,702 "," 75,580 "," 208,791 "," 254,121 "," 271,493 "," 329,701 ",,,,
2020-21,8,Central," 264,752 "," 276,800 "," 750,094 "," 784,532 "," 1,014,846 "," 1,061,332 ",,,,
2020-21,8,District," 198,183 "," 208,699 "," 515,412 "," 528,003 "," 713,595 "," 736,702 ",,,,
2020-21,8,Jubilee," 221,198 "," 227,000 "," 619,259 "," 637,464 "," 840,457 "," 864,464 ",,,,
2020-21,8,Metropolitan," 167,585 "," 176,513 "," 451,257 "," 483,547 "," 618,842 "," 660,060 ",,,,
2020-21,8,Northern," 298,551 "," 303,640 "," 834,795 "," 853,980 "," 1,133,346 "," 1,157,620 ",,,,
2020-21,8,Piccadilly," 225,557 "," 238,300 "," 658,035 "," 718,200 "," 883,592 "," 956,500 ",,,,
2020-21,8,Victoria," 162,897 "," 178,520 "," 393,952 "," 432,304 "," 556,849 "," 610,824 ",,,,
2020-21,8,Waterloo & City, -   , -   , -   , -   , -   , -   ,,,,
2020-21,9,Bakerloo," 70,971 "," 76,340 "," 195,599 "," 215,031 "," 266,570 "," 291,371 ",,,,
2020-21,9,C&H," 62,928 "," 75,580 "," 202,632 "," 239,361 "," 265,560 "," 314,941 ",,,,
2020-21,9,Central," 270,007 "," 276,800 "," 758,601 "," 784,532 "," 1,028,608 "," 1,061,332 ",,,,
2020-21,9,District," 180,499 "," 208,065 "," 492,733 "," 536,888 "," 673,232 "," 744,953 ",,,,
2020-21,9,Jubilee," 221,475 "," 227,000 "," 625,316 "," 637,464 "," 846,791 "," 864,464 ",,,,
2020-21,9,Metropolitan," 169,363 "," 176,580 "," 449,154 "," 483,568 "," 618,517 "," 660,148 ",,,,
2020-21,9,Northern," 302,019 "," 303,640 "," 777,637 "," 795,283 "," 1,079,656 "," 1,098,923 ",,,,
2020-21,9,Piccadilly," 224,962 "," 238,300 "," 662,795 "," 718,316 "," 887,757 "," 956,616 ",,,,
2020-21,9,Victoria," 166,065 "," 178,520 "," 396,960 "," 432,304 "," 563,025 "," 610,824 ",,,,
2020-21,10,Bakerloo," 57,531 "," 67,662 "," 160,951 "," 198,631 "," 218,482 "," 266,293 ",,,,
2020-21,10,C&H," 56,318 "," 69,235 "," 185,314 "," 231,431 "," 241,632 "," 300,666 ",,,,
2020-21,10,Central," 227,401 "," 242,957 "," 649,243 "," 689,125 "," 876,644 "," 932,082 ",,,,
2020-21,10,District," 148,347 "," 173,892 "," 446,391 "," 502,166 "," 594,738 "," 676,058 ",,,,
2020-21,10,Jubilee," 188,252 "," 199,075 "," 524,006 "," 560,357 "," 712,258 "," 759,432 ",,,,
2020-21,10,Metropolitan," 136,997 "," 151,410 "," 381,631 "," 438,632 "," 518,628 "," 590,042 ",,,,
2020-21,10,Northern," 263,590 "," 267,434 "," 761,836 "," 775,667 "," 1,025,426 "," 1,043,101 ",,,,
2020-21,10,Piccadilly," 180,409 "," 199,044 "," 521,031 "," 592,291 "," 701,440 "," 791,335 ",,,,
2020-21,10,Victoria," 131,691 "," 149,438 "," 324,166 "," 367,720 "," 455,857 "," 517,158 ",,,,
2020-21,11,Bakerloo," 67,515 "," 76,340 "," 173,510 "," 199,408 "," 241,025 "," 275,748 ",,,,
2020-21,11,C&H," 58,559 "," 75,569 "," 176,205 "," 247,964 "," 234,764 "," 323,533 ",,,,
2020-21,11,Central," 254,173 "," 276,800 "," 688,318 "," 784,646 "," 942,491 "," 1,061,446 ",,,,
2020-21,11,District," 173,993 "," 210,136 "," 495,902 "," 549,357 "," 669,895 "," 759,493 ",,,,
2020-21,11,Jubilee," 203,339 "," 227,000 "," 517,289 "," 575,313 "," 720,628 "," 802,313 ",,,,
2020-21,11,Metropolitan," 165,599 "," 176,220 "," 407,160 "," 455,430 "," 572,759 "," 631,650 ",,,,
2020-21,11,Northern," 293,644 "," 303,640 "," 823,250 "," 860,694 "," 1,116,894 "," 1,164,334 ",,,,
2020-21,11,Piccadilly," 225,334 "," 251,751 "," 610,951 "," 711,133 "," 836,285 "," 962,884 ",,,,
2020-21,11,Victoria," 157,435 "," 178,520 "," 356,689 "," 432,304 "," 514,124 "," 610,824 ",,,,
2020-21,12,Bakerloo," 56,374 "," 76,340 "," 151,128 "," 218,382 "," 207,502 "," 294,722 ",,,,
2020-21,12,C&H," 55,006 "," 75,580 "," 147,988 "," 251,689 "," 202,994 "," 327,269 ",,,,
2020-21,12,Central," 254,459 "," 276,800 "," 644,330 "," 740,647 "," 898,789 "," 1,017,447 ",,,,
2020-21,12,District," 176,021 "," 210,106 "," 497,953 "," 559,610 "," 673,974 "," 769,716 ",,,,
2020-21,12,Jubilee," 202,259 "," 227,000 "," 550,129 "," 622,903 "," 752,388 "," 849,903 ",,,,
2020-21,12,Metropolitan," 155,334 "," 176,172 "," 365,231 "," 472,052 "," 520,565 "," 648,224 ",,,,
2020-21,12,Northern," 288,776 "," 303,640 "," 814,959 "," 862,142 "," 1,103,735 "," 1,165,782 ",,,,
2020-21,12,Piccadilly," 220,271 "," 252,107 "," 602,885 "," 697,046 "," 823,156 "," 949,153 ",,,,
2020-21,12,Victoria," 161,660 "," 178,520 "," 348,470 "," 432,304 "," 510,130 "," 610,824 ",,,,
2020-21,12,Waterloo & City, -   , -   , -   , -   , -   , -   ,,,,
2020-21,13,Bakerloo," 58,568 "," 68,706 "," 138,252 "," 176,969 "," 196,820 "," 245,675 ",,,,
2020-21,13,C&H," 51,440 "," 68,032 "," 124,002 "," 203,958 "," 175,442 "," 271,990 ",,,,
2020-21,13,Central," 229,256 "," 249,111 "," 598,106 "," 695,482 "," 827,362 "," 944,593 ",,,,
2020-21,13,District," 169,279 "," 188,819 "," 452,657 "," 496,870 "," 621,936 "," 685,689 ",,,,
2020-21,13,Jubilee," 178,280 "," 204,300 "," 485,961 "," 566,070 "," 664,241 "," 770,370 ",,,,
2020-21,13,Metropolitan," 140,699 "," 158,502 "," 313,398 "," 427,955 "," 454,097 "," 586,457 ",,,,
2020-21,13,Northern," 259,178 "," 273,276 "," 720,022 "," 771,797 "," 979,200 "," 1,045,073 ",,,,
2020-21,13,Piccadilly," 195,905 "," 226,872 "," 543,992 "," 652,682 "," 739,897 "," 879,554 ",,,,
2020-21,13,Victoria," 124,519 "," 160,668 "," 278,347 "," 383,603 "," 402,866 "," 544,271 ",,,,
2020-21,13,Waterloo & City, -   , -   , -   , -   , -   , -   ,,,,
2021-22,1,Bakerloo," 75,407 "," 83,382 "," 210,587 "," 238,717 "," 285,994 "," 322,099 ",,,,
2021-22,1,C&H," 65,440 "," 83,135 "," 189,744 "," 286,918 "," 255,184 "," 370,053 ",,,,
2021-22,1,Central," 284,785 "," 301,830 "," 747,700 "," 826,854 "," 1,032,485 "," 1,128,684 ",,,,
2021-22,1,District," 216,938 "," 228,132 "," 611,656 "," 650,957 "," 828,594 "," 879,089 ",,,,
2021-22,1,Jubilee," 234,522 "," 246,800 "," 621,910 "," 677,306 "," 856,432 "," 924,106 ",,,,
2021-22,1,Metropolitan," 175,530 "," 189,686 "," 459,707 "," 517,534 "," 635,237 "," 707,220 ",,,,
2021-22,1,Northern," 310,556 "," 315,144 "," 862,329 "," 883,849 "," 1,172,885 "," 1,198,993 ",,,,
2021-22,1,Piccadilly," 239,540 "," 263,666 "," 684,676 "," 765,170 "," 924,216 "," 1,028,836 ",,,,
2021-22,1,Victoria," 175,843 "," 192,660 "," 386,064 "," 480,699 "," 561,907 "," 673,359 ",,,,
2021-22,1,Waterloo & City, -   , -   , -   , -   , -   , -   ,,,,
2021-22,2,Bakerloo," 69,685 "," 74,616 "," 177,648 "," 195,951 "," 247,333 "," 270,567 ",,,,
2021-22,2,C&H," 59,599 "," 73,751 "," 189,277 "," 239,029 "," 248,876 "," 312,780 ",,,,
2021-22,2,Central," 254,556 "," 276,800 "," 702,722 "," 784,532 "," 957,278 "," 1,061,332 ",,,,
2021-22,2,District," 193,799 "," 205,027 "," 494,728 "," 517,015 "," 688,527 "," 722,042 ",,,,
2021-22,2,Jubilee," 207,865 "," 227,000 "," 592,847 "," 637,464 "," 800,712 "," 864,464 ",,,,
2021-22,2,Metropolitan," 165,607 "," 174,161 "," 410,417 "," 473,869 "," 576,024 "," 648,030 ",,,,
2021-22,2,Northern," 295,557 "," 299,353 "," 780,526 "," 806,927 "," 1,076,083 "," 1,106,280 ",,,,
2021-22,2,Piccadilly," 232,888 "," 250,234 "," 626,759 "," 689,029 "," 859,647 "," 939,263 ",,,,
2021-22,2,Victoria," 164,603 "," 176,664 "," 374,467 "," 432,151 "," 539,070 "," 608,815 ",,,,
2021-22,2,Waterloo & City, -   , -   , -   , -   , -   , -   ,,,,
2021-22,3,Bakerloo," 70,312 "," 74,522 "," 181,511 "," 195,525 "," 251,823 "," 270,047 ",,,,
2021-22,3,C&H," 57,918 "," 72,813 "," 141,929 "," 209,808 "," 199,847 "," 282,621 ",,,,
2021-22,3,Central," 255,035 "," 275,475 "," 711,552 "," 784,207 "," 966,587 "," 1,059,682 ",,,,
2021-22,3,District," 179,932 "," 201,293 "," 447,317 "," 483,869 "," 627,249 "," 685,162 ",,,,
2021-22,3,Jubilee," 205,883 "," 225,550 "," 578,153 "," 637,936 "," 784,036 "," 863,486 ",,,,
2021-22,3,Metropolitan," 156,034 "," 174,177 "," 386,047 "," 476,603 "," 542,081 "," 650,780 ",,,,
2021-22,3,Northern," 292,511 "," 302,058 "," 805,136 "," 840,749 "," 1,097,647 "," 1,142,807 ",,,,
2021-22,3,Piccadilly," 229,195 "," 250,224 "," 636,761 "," 732,427 "," 865,956 "," 982,651 ",,,,
2021-22,3,Victoria," 169,343 "," 176,664 "," 404,102 "," 432,151 "," 573,445 "," 608,815 ",,,,
2021-22,3,Waterloo & City," 5,682 "," 6,042 "," 1,459 "," 1,748 "," 7,141 "," 7,790 ",,,,
2021-22,4,Bakerloo," 70,655 "," 74,940 "," 179,288 "," 194,653 "," 249,943 "," 269,593 ",,,,
2021-22,4,C&H," 57,248 "," 75,580 "," 145,748 "," 237,615 "," 202,996 "," 313,195 ",,,,
2021-22,4,Central," 251,150 "," 276,800 "," 682,293 "," 784,532 "," 933,443 "," 1,061,332 ",,,,
2021-22,4,District," 164,633 "," 209,948 "," 427,740 "," 524,089 "," 592,373 "," 734,037 ",,,,
2021-22,4,Jubilee," 201,903 "," 227,000 "," 539,630 "," 605,286 "," 741,533 "," 832,286 ",,,,
2021-22,4,Metropolitan," 148,080 "," 176,219 "," 355,975 "," 466,002 "," 504,055 "," 642,221 ",,,,
2021-22,4,Northern," 287,293 "," 303,640 "," 772,670 "," 822,895 "," 1,059,963 "," 1,126,535 ",,,,
2021-22,4,Piccadilly," 226,318 "," 252,170 "," 611,061 "," 718,118 "," 837,379 "," 970,288 ",,,,
2021-22,4,Victoria," 162,342 "," 178,520 "," 387,740 "," 432,304 "," 550,082 "," 610,824 ",,,,
2021-22,4,Waterloo & City," 6,274 "," 6,360 "," 1,801 "," 1,840 "," 8,075 "," 8,200 ",,,,
2021-22,5,Bakerloo," 68,230 "," 74,940 "," 174,802 "," 192,151 "," 243,032 "," 267,091 ",,,,
2021-22,5,C&H," 60,273 "," 74,788 "," 155,249 "," 249,030 "," 215,522 "," 323,818 ",,,,
2021-22,5,Central," 248,532 "," 276,800 "," 680,295 "," 784,604 "," 928,827 "," 1,061,404 ",,,,
2021-22,5,District," 138,023 "," 158,222 "," 350,762 "," 397,131 "," 488,785 "," 555,353 ",,,,
2021-22,5,Jubilee," 213,670 "," 227,000 "," 573,845 "," 637,464 "," 787,515 "," 864,464 ",,,,
2021-22,5,Metropolitan," 107,328 "," 176,261 "," 292,465 "," 483,095 "," 399,793 "," 659,356 ",,,,
2021-22,5,Northern," 292,009 "," 303,640 "," 763,090 "," 806,258 "," 1,055,099 "," 1,109,898 ",,,,
2021-22,5,Piccadilly," 222,724 "," 252,280 "," 597,858 "," 721,754 "," 820,582 "," 974,034 ",,,,
2021-22,5,Victoria," 137,255 "," 178,520 "," 323,424 "," 432,304 "," 460,679 "," 610,824 ",,,,
2021-22,5,Waterloo & City," 6,254 "," 6,360 "," 1,733 "," 1,840 "," 7,987 "," 8,200 ",,,,
2021-22,6,Bakerloo," 69,266 "," 74,541 "," 175,564 "," 195,500 "," 244,830 "," 270,041 ",,,,
2021-22,6,C&H," 63,060 "," 75,491 "," 202,719 "," 261,053 "," 265,779 "," 336,544 ",,,,
2021-22,6,Central," 248,577 "," 275,475 "," 662,096 "," 784,207 "," 910,673 "," 1,059,682 ",,,,
2021-22,6,District," 178,398 "," 208,536 "," 490,956 "," 545,430 "," 669,354 "," 753,966 ",,,,
2021-22,6,Jubilee," 213,068 "," 225,550 "," 539,228 "," 580,977 "," 752,296 "," 806,527 ",,,,
2021-22,6,Metropolitan," 156,135 "," 174,736 "," 394,898 "," 465,139 "," 551,033 "," 639,875 ",,,,
