"time period","national or operator","number of trains planned","number of trains part cancelled","number of trains full cancelled","cancellation number","periodic cancellations percentage","moving annual average cancellations percentage"
"Apr 2024 to Mar 2025 (Period 06)","Greater Anglia","33819","306","463","616.0","1.82","1.61"
"Apr 2024 to Mar 2025 (Period 07)","Greater Anglia","33847","426","729","942.0","2.78","1.77"
"Apr 2024 to Mar 2025 (Period 08)","Greater Anglia","34305","205","235","337.5","0.98","1.68"
"Apr 2024 to Mar 2025 (Period 09)","Greater Anglia","34127","386","710","903.0","2.65","1.78"
"Apr 2024 to Mar 2025 (Period 10)","Greater Anglia","30283","158","276","355.0","1.17","1.73"
"Apr 2024 to Mar 2025 (Period 11)","Greater Anglia","33216","223","537","648.5","1.95","1.74"
"Apr 2024 to Mar 2025 (Period 12)","Greater Anglia","33821","245","591","713.5","2.11","1.75"
"Apr 2024 to Mar 2025 (Period 13)","Greater Anglia","36599","408","513","717.0","1.96","1.77"
"Apr 2025 to Mar 2026 (Period 01)","Greater Anglia","31826","214","249","356.0","1.12","1.67"
"Apr 2025 to Mar 2026 (Period 02)","Greater Anglia","34305","351","524","699.5","2.04","1.75"
"Apr 2025 to Mar 2026 (Period 03)","Greater Anglia","33986","243","368","489.5","1.44","1.76"
"Apr 2025 to Mar 2026 (Period 04)","Greater Anglia","34460","347","342","515.5","1.50","1.77"
"Apr 2025 to Mar 2026 (Period 05)","Greater Anglia","34457","248","319","443.0","1.29","1.76"
"Apr 2025 to Mar 2026 (Period 06)","Greater Anglia","34511","243","558","679.5","1.97","1.77"
"Apr 2025 to Mar 2026 (Period 07)","Greater Anglia","34346","424","586","798.0","2.32","1.74"
"Apr 2025 to Mar 2026 (Period 08)","Greater Anglia","34386","349","622","796.5","2.32","1.84"
"Apr 2025 to Mar 2026 (Period 09)","Greater Anglia","34175","346","352","525.0","1.54","1.76"
"Apr 2025 to Mar 2026 (Period 10)","Greater Anglia","30176","202","261","362.0","1.20","1.76"
"Apr 2025 to Mar 2026 (Period 11)","Greater Anglia","34404","217","254","362.5","1.05","1.69"
"Apr 2019 to Mar 2020 (Period 01)","Heathrow Express","4049","3","46","47.5","1.17","[z]"
"Apr 2019 to Mar 2020 (Period 02)","Heathrow Express","4187","3","44","45.5","1.09","[z]"
"Apr 2019 to Mar 2020 (Period 03)","Heathrow Express","4185","4","79","81.0","1.94","[z]"
"Apr 2019 to Mar 2020 (Period 04)","Heathrow Express","4199","3","56","57.5","1.37","[z]"
"Apr 2019 to Mar 2020 (Period 05)","Heathrow Express","4205","5","53","55.5","1.32","[z]"
"Apr 2019 to Mar 2020 (Period 06)","Heathrow Express","4197","18","55","64.0","1.52","[z]"
"Apr 2019 to Mar 2020 (Period 07)","Heathrow Express","4167","12","57","63.0","1.51","[z]"
"Apr 2019 to Mar 2020 (Period 08)","Heathrow Express","4042","13","152","158.5","3.92","[z]"
"Apr 2019 to Mar 2020 (Period 09)","Heathrow Express","4178","0","79","79.0","1.89","[z]"
"Apr 2019 to Mar 2020 (Period 10)","Heathrow Express","4327","8","93","97.0","2.24","[z]"
"Apr 2019 to Mar 2020 (Period 11)","Heathrow Express","4201","2","76","77.0","1.83","[z]"
"Apr 2019 to Mar 2020 (Period 12)","Heathrow Express","4135","3","203","204.5","4.95","[z]"
"Apr 2019 to Mar 2020 (Period 13)","Heathrow Express","3900","2","72","73.0","1.87","2.04"
"Apr 2020 to Mar 2021 (Period 01)","Heathrow Express","2428","0","29","29.0","1.19","2.07"
"Apr 2020 to Mar 2021 (Period 02)","Heathrow Express","2120","3","13","14.5","0.68","2.10"
"Apr 2020 to Mar 2021 (Period 03)","Heathrow Express","2129","2","89","90.0","4.23","2.20"
"Apr 2020 to Mar 2021 (Period 04)","Heathrow Express","2128","0","19","19.0","0.89","2.22"
"Apr 2020 to Mar 2021 (Period 05)","Heathrow Express","2128","2","6","7.0","0.33","2.21"
"Apr 2020 to Mar 2021 (Period 06)","Heathrow Express","2127","6","14","17.0","0.80","2.21"
"Apr 2020 to Mar 2021 (Period 07)","Heathrow Express","2129","2","13","14.0","0.66","2.20"
"Apr 2020 to Mar 2021 (Period 08)","Heathrow Express","2126","5","15","17.5","0.82","1.94"
"Apr 2020 to Mar 2021 (Period 09)","Heathrow Express","1974","5","19","21.5","1.09","1.90"
"Apr 2020 to Mar 2021 (Period 10)","Heathrow Express","2060","14","62","69.0","3.35","1.94"
"Apr 2020 to Mar 2021 (Period 11)","Heathrow Express","2113","13","24","30.5","1.44","1.93"
"Apr 2020 to Mar 2021 (Period 12)","Heathrow Express","2577","34","105","122.0","4.73","1.75"
"Apr 2020 to Mar 2021 (Period 13)","Heathrow Express","3444","42","115","136.0","3.95","1.99"
"Apr 2021 to Mar 2022 (Period 01)","Heathrow Express","4485","32","126","142.0","3.17","2.22"
"Apr 2021 to Mar 2022 (Period 02)","Heathrow Express","4124","14","192","199.0","4.83","2.64"
"Apr 2021 to Mar 2022 (Period 03)","Heathrow Express","4146","18","193","202.0","4.87","2.80"
"Apr 2021 to Mar 2022 (Period 04)","Heathrow Express","4188","12","118","124.0","2.96","2.93"
"Apr 2021 to Mar 2022 (Period 05)","Heathrow Express","4187","9","129","133.5","3.19","3.09"
"Apr 2021 to Mar 2022 (Period 06)","Heathrow Express","4197","34","107","124.0","2.95","3.20"
"Apr 2021 to Mar 2022 (Period 07)","Heathrow Express","4163","24","231","243.0","5.84","3.57"
"Apr 2021 to Mar 2022 (Period 08)","Heathrow Express","4192","13","176","182.5","4.35","3.77"
"Apr 2021 to Mar 2022 (Period 09)","Heathrow Express","3902","8","94","98.0","2.51","3.78"
"Apr 2021 to Mar 2022 (Period 10)","Heathrow Express","4112","7","90","93.5","2.27","3.67"
"Apr 2021 to Mar 2022 (Period 11)","Heathrow Express","4184","12","110","116.0","2.77","3.69"
"Apr 2021 to Mar 2022 (Period 12)","Heathrow Express","4013","15","266","273.5","6.82","3.88"
"Apr 2021 to Mar 2022 (Period 13)","Heathrow Express","3865","4","93","95.0","2.46","3.77"
"Apr 2022 to Mar 2023 (Period 01)","Heathrow Express","4455","10","349","354.0","7.95","4.17"
"Apr 2022 to Mar 2023 (Period 02)","Heathrow Express","4160","9","62","66.5","1.60","3.92"
"Apr 2022 to Mar 2023 (Period 03)","Heathrow Express","3849","9","69","73.5","1.91","3.70"
"Apr 2022 to Mar 2023 (Period 04)","Heathrow Express","4179","9","162","166.5","3.98","3.78"
"Apr 2022 to Mar 2023 (Period 05)","Heathrow Express","3636","5","109","111.5","3.07","3.78"
"Apr 2022 to Mar 2023 (Period 06)","Heathrow Express","4187","3","123","124.5","2.97","3.78"
"Apr 2022 to Mar 2023 (Period 07)","Heathrow Express","3775","15","401","408.5","10.82","4.12"
"Apr 2022 to Mar 2023 (Period 08)","Heathrow Express","4062","14","94","101.0","2.49","3.97"
"Apr 2022 to Mar 2023 (Period 09)","Heathrow Express","3674","19","200","209.5","5.70","4.21"
"Apr 2022 to Mar 2023 (Period 10)","Heathrow Express","3382","4","186","188.0","5.56","4.45"
"Apr 2022 to Mar 2023 (Period 11)","Heathrow Express","3890","8","83","87.0","2.24","4.42"
"Apr 2022 to Mar 2023 (Period 12)","Heathrow Express","4204","15","61","68.5","1.63","4.00"
"Apr 2022 to Mar 2023 (Period 13)","Heathrow Express","3970","4","280","282.0","7.10","4.36"
"Apr 2023 to Mar 2024 (Period 01)","Heathrow Express","4355","0","78","78.0","1.79","3.83"
"Apr 2023 to Mar 2024 (Period 02)","Heathrow Express","4038","1","64","64.5","1.60","3.83"
"Apr 2023 to Mar 2024 (Period 03)","Heathrow Express","3873","16","52","60.0","1.55","3.81"
"Apr 2023 to Mar 2024 (Period 04)","Heathrow Express","4153","2","71","72.0","1.73","3.62"
"Apr 2023 to Mar 2024 (Period 05)","Heathrow Express","4120","3","159","160.5","3.90","3.68"
"Apr 2023 to Mar 2024 (Period 06)","Heathrow Express","4034","7","200","203.5","5.04","3.85"
"Apr 2023 to Mar 2024 (Period 07)","Heathrow Express","3989","0","89","89.0","2.23","3.21"
"Apr 2023 to Mar 2024 (Period 08)","Heathrow Express","4150","7","172","175.5","4.23","3.35"
"Apr 2023 to Mar 2024 (Period 09)","Heathrow Express","3688","6","362","365.0","9.90","3.65"
"Apr 2023 to Mar 2024 (Period 10)","Heathrow Express","4220","1","232","232.5","5.51","3.68"
"Apr 2023 to Mar 2024 (Period 11)","Heathrow Express","4008","3","142","143.5","3.58","3.78"
"Apr 2023 to Mar 2024 (Period 12)","Heathrow Express","4048","3","97","98.5","2.43","3.85"
"Apr 2023 to Mar 2024 (Period 13)","Heathrow Express","4061","4","152","154.0","3.79","3.60"
"Apr 2024 to Mar 2025 (Period 01)","Heathrow Express","3752","3","70","71.5","1.91","3.63"
"Apr 2024 to Mar 2025 (Period 02)","Heathrow Express","4008","22","144","155.0","3.87","3.80"
"Apr 2024 to Mar 2025 (Period 03)","Heathrow Express","4081","1","78","78.5","1.92","3.82"
"Apr 2024 to Mar 2025 (Period 04)","Heathrow Express","4195","3","337","338.5","8.07","4.33"
"Apr 2024 to Mar 2025 (Period 05)","Heathrow Express","4204","9","195","199.5","4.75","4.39"
"Apr 2024 to Mar 2025 (Period 06)","Heathrow Express","4119","0","116","116.0","2.82","4.22"
"Apr 2024 to Mar 2025 (Period 07)","Heathrow Express","4012","12","179","185.0","4.61","4.40"
"Apr 2024 to Mar 2025 (Period 08)","Heathrow Express","4002","8","113","117.0","2.92","4.30"
"Apr 2024 to Mar 2025 (Period 09)","Heathrow Express","3649","1","226","226.5","6.21","4.04"
"Apr 2024 to Mar 2025 (Period 10)","Heathrow Express","4114","3","56","57.5","1.40","3.71"
"Apr 2024 to Mar 2025 (Period 11)","Heathrow Express","4122","2","108","109.0","2.64","3.64"
"Apr 2024 to Mar 2025 (Period 12)","Heathrow Express","4088","3","123","124.5","3.05","3.69"
"Apr 2024 to Mar 2025 (Period 13)","Heathrow Express","4444","4","184","186.0","4.19","3.72"
"Apr 2025 to Mar 2026 (Period 01)","Heathrow Express","3590","1","83","83.5","2.33","3.76"
"Apr 2025 to Mar 2026 (Period 02)","Heathrow Express","4067","3","67","68.5","1.68","3.59"
"Apr 2025 to Mar 2026 (Period 03)","Heathrow Express","4182","7","173","176.5","4.22","3.77"
"Apr 2025 to Mar 2026 (Period 04)","Heathrow Express","4250","1","78","78.5","1.85","3.27"
"Apr 2025 to Mar 2026 (Period 05)","Heathrow Express","4252","0","90","90.0","2.12","3.06"
"Apr 2025 to Mar 2026 (Period 06)","Heathrow Express","4240","4","151","153.0","3.61","3.12"
"Apr 2025 to Mar 2026 (Period 07)","Heathrow Express","4140","2","128","129.0","3.12","3.01"
"Apr 2025 to Mar 2026 (Period 08)","Heathrow Express","4082","10","106","111.0","2.72","2.99"
"Apr 2025 to Mar 2026 (Period 09)","Heathrow Express","3880","1","166","166.5","4.29","2.87"
"Apr 2025 to Mar 2026 (Period 10)","Heathrow Express","4383","2","119","120.0","2.74","2.97"
"Apr 2025 to Mar 2026 (Period 11)","Heathrow Express","4134","9","211","215.5","5.21","3.17"
"Apr 2019 to Mar 2020 (Period 01)","Hull Trains","353","1","7","7.5","2.12","[z]"
"Apr 2019 to Mar 2020 (Period 02)","Hull Trains","355","8","8","12.0","3.38","[z]"
"Apr 2019 to Mar 2020 (Period 03)","Hull Trains","336","12","11","17.0","5.06","[z]"
"Apr 2019 to Mar 2020 (Period 04)","Hull Trains","346","5","16","18.5","5.35","[z]"
"Apr 2019 to Mar 2020 (Period 05)","Hull Trains","330","10","30","35.0","10.61","[z]"
"Apr 2019 to Mar 2020 (Period 06)","Hull Trains","348","3","6","7.5","2.16","[z]"
"Apr 2019 to Mar 2020 (Period 07)","Hull Trains","368","11","3","8.5","2.31","[z]"
"Apr 2019 to Mar 2020 (Period 08)","Hull Trains","355","18","21","30.0","8.45","[z]"
"Apr 2019 to Mar 2020 (Period 09)","Hull Trains","367","2","2","3.0","0.82","[z]"
"Apr 2019 to Mar 2020 (Period 10)","Hull Trains","333","4","0","2.0","0.60","[z]"
"Apr 2019 to Mar 2020 (Period 11)","Hull Trains","337","2","3","4.0","1.19","[z]"
"Apr 2019 to Mar 2020 (Period 12)","Hull Trains","357","8","1","5.0","1.40","[z]"
"Apr 2019 to Mar 2020 (Period 13)","Hull Trains","278","7","2","5.5","1.98","3.48"
"Apr 2020 to Mar 2021 (Period 05)","Hull Trains","8","0","3","3.0","37.50","3.67"
"Apr 2020 to Mar 2021 (Period 06)","Hull Trains","114","0","4","4.0","3.51","3.69"
"Apr 2020 to Mar 2021 (Period 07)","Hull Trains","129","2","0","1.0","0.78","3.46"
"Apr 2020 to Mar 2021 (Period 08)","Hull Trains","82","0","0","0.0","0","3.19"
"Apr 2020 to Mar 2021 (Period 09)","Hull Trains","48","2","2","3.0","6.25","2.45"
"Apr 2020 to Mar 2021 (Period 10)","Hull Trains","125","1","3","3.5","2.80","2.50"
"Apr 2021 to Mar 2022 (Period 01)","Hull Trains","77","0","0","0.0","0","2.45"
"Apr 2021 to Mar 2022 (Period 02)","Hull Trains","195","2","7","8.0","4.10","1.71"
"Apr 2021 to Mar 2022 (Period 03)","Hull Trains","289","1","3","3.5","1.21","1.79"
"Apr 2021 to Mar 2022 (Period 04)","Hull Trains","321","8","8","12.0","3.74","2.22"
"Apr 2021 to Mar 2022 (Period 05)","Hull Trains","324","3","2","3.5","1.08","2.22"
"Apr 2021 to Mar 2022 (Period 06)","Hull Trains","320","4","8","10.0","3.13","2.47"
"Apr 2021 to Mar 2022 (Period 07)","Hull Trains","323","1","3","3.5","1.08","2.34"
"Apr 2021 to Mar 2022 (Period 08)","Hull Trains","323","3","4","5.5","1.70","2.15"
"Apr 2021 to Mar 2022 (Period 09)","Hull Trains","309","8","2","6.0","1.94","2.08"
"Apr 2021 to Mar 2022 (Period 10)","Hull Trains","305","3","6","7.5","2.46","2.17"
"Apr 2021 to Mar 2022 (Period 11)","Hull Trains","254","3","3","4.5","1.77","2.19"
"Apr 2021 to Mar 2022 (Period 12)","Hull Trains","354","5","3","5.5","1.55","2.07"
"Apr 2021 to Mar 2022 (Period 13)","Hull Trains","325","1","6","6.5","2.00","2.04"
"Apr 2022 to Mar 2023 (Period 01)","Hull Trains","375","1","4","4.5","1.20","2.00"
"Apr 2022 to Mar 2023 (Period 02)","Hull Trains","363","10","1","6.0","1.65","1.88"
"Apr 2022 to Mar 2023 (Period 03)","Hull Trains","356","5","5","7.5","2.11","1.94"
"Apr 2022 to Mar 2023 (Period 04)","Hull Trains","313","8","13","17.0","5.43","2.06"
"Apr 2022 to Mar 2023 (Period 05)","Hull Trains","322","8","22","26.0","8.07","2.59"
"Apr 2022 to Mar 2023 (Period 06)","Hull Trains","365","4","6","8.0","2.19","2.52"
"Apr 2022 to Mar 2023 (Period 07)","Hull Trains","352","2","9","10.0","2.84","2.65"
"Apr 2022 to Mar 2023 (Period 08)","Hull Trains","358","12","3","9.0","2.51","2.71"
"Apr 2022 to Mar 2023 (Period 09)","Hull Trains","360","4","16","18.0","5.00","2.95"
"Apr 2022 to Mar 2023 (Period 10)","Hull Trains","275","1","1","1.5","0.55","2.84"
"Apr 2022 to Mar 2023 (Period 11)","Hull Trains","368","4","1","3.0","0.82","2.73"
"Apr 2022 to Mar 2023 (Period 12)","Hull Trains","359","15","0","7.5","2.09","2.77"
"Apr 2022 to Mar 2023 (Period 13)","Hull Trains","364","5","2","4.5","1.24","2.70"
"Apr 2023 to Mar 2024 (Period 01)","Hull Trains","384","1","2","2.5","0.65","2.65"
"Apr 2023 to Mar 2024 (Period 02)","Hull Trains","358","17","3","11.5","3.21","2.78"
"Apr 2023 to Mar 2024 (Period 03)","Hull Trains","366","1","5","5.5","1.50","2.73"
"Apr 2023 to Mar 2024 (Period 04)","Hull Trains","358","2","0","1.0","0.28","2.35"
"Apr 2023 to Mar 2024 (Period 05)","Hull Trains","378","7","2","5.5","1.46","1.88"
"Apr 2023 to Mar 2024 (Period 06)","Hull Trains","365","3","2","3.5","0.96","1.79"
"Apr 2023 to Mar 2024 (Period 07)","Hull Trains","376","7","1","4.5","1.20","1.66"
"Apr 2023 to Mar 2024 (Period 08)","Hull Trains","375","9","17","21.5","5.73","1.92"
"Apr 2023 to Mar 2024 (Period 09)","Hull Trains","368","6","5","8.0","2.17","1.70"
"Apr 2023 to Mar 2024 (Period 10)","Hull Trains","327","8","21","25.0","7.65","2.18"
"Apr 2023 to Mar 2024 (Period 11)","Hull Trains","352","8","5","9.0","2.56","2.32"
"Apr 2023 to Mar 2024 (Period 12)","Hull Trains","322","5","2","4.5","1.40","2.27"
"Apr 2023 to Mar 2024 (Period 13)","Hull Trains","387","3","4","5.5","1.42","2.28"
"Apr 2024 to Mar 2025 (Period 01)","Hull Trains","361","1","0","0.5","0.14","2.25"
"Apr 2024 to Mar 2025 (Period 02)","Hull Trains","365","9","4","8.5","2.33","2.18"
"Apr 2024 to Mar 2025 (Period 03)","Hull Trains","375","2","1","2.0","0.53","2.10"
"Apr 2024 to Mar 2025 (Period 04)","Hull Trains","375","14","1","8.0","2.13","2.24"
"Apr 2024 to Mar 2025 (Period 05)","Hull Trains","374","16","5","13.0","3.48","2.40"
"Apr 2024 to Mar 2025 (Period 06)","Hull Trains","366","5","0","2.5","0.68","2.38"
"Apr 2024 to Mar 2025 (Period 07)","Hull Trains","360","9","7","11.5","3.19","2.54"
"Apr 2024 to Mar 2025 (Period 08)","Hull Trains","359","25","0","12.5","3.48","2.36"
"Apr 2024 to Mar 2025 (Period 09)","Hull Trains","351","18","6","15.0","4.27","2.51"
"Apr 2024 to Mar 2025 (Period 10)","Hull Trains","338","6","0","3.0","0.89","2.04"
"Apr 2024 to Mar 2025 (Period 11)","Hull Trains","352","7","0","3.5","0.99","1.92"
"Apr 2024 to Mar 2025 (Period 12)","Hull Trains","365","8","4","8.0","2.19","1.98"
"Apr 2024 to Mar 2025 (Period 13)","Hull Trains","388","0","2","2.0","0.52","1.90"
"Apr 2025 to Mar 2026 (Period 01)","Hull Trains","324","11","7","12.5","3.86","2.17"
"Apr 2025 to Mar 2026 (Period 02)","Hull Trains","335","2","2","3.0","0.90","2.07"
"Apr 2025 to Mar 2026 (Period 03)","Hull Trains","293","4","3","5.0","1.71","2.17"
"Apr 2025 to Mar 2026 (Period 04)","Hull Trains","261","2","5","6.0","2.30","2.18"
"Apr 2025 to Mar 2026 (Period 05)","Hull Trains","310","5","1","3.5","1.13","2.00"
"Apr 2025 to Mar 2026 (Period 06)","Hull Trains","362","4","0","2.0","0.55","1.99"
"Apr 2025 to Mar 2026 (Period 07)","Hull Trains","369","9","5","9.5","2.57","1.94"
"Apr 2025 to Mar 2026 (Period 08)","Hull Trains","378","9","4","8.5","2.25","1.84"
"Apr 2025 to Mar 2026 (Period 09)","Hull Trains","353","9","7","11.5","3.26","1.76"
"Apr 2025 to Mar 2026 (Period 10)","Hull Trains","337","6","2","5.0","1.48","1.81"
"Apr 2025 to Mar 2026 (Period 11)","Hull Trains","361","4","6","8.0","2.22","1.90"
"Apr 2019 to Mar 2020 (Period 01)","London North Eastern Railway","3984","42","66","87.0","2.18","[z]"
"Apr 2019 to Mar 2020 (Period 02)","London North Eastern Railway","4112","24","60","72.0","1.75","[z]"
"Apr 2019 to Mar 2020 (Period 03)","London North Eastern Railway","4052","80","86","126.0","3.11","[z]"
"Apr 2019 to Mar 2020 (Period 04)","London North Eastern Railway","4086","72","141","177.0","4.33","[z]"
"Apr 2019 to Mar 2020 (Period 05)","London North Eastern Railway","4067","82","166","207.0","5.09","[z]"
"Apr 2019 to Mar 2020 (Period 06)","London North Eastern Railway","4009","33","37","53.5","1.33","[z]"
"Apr 2019 to Mar 2020 (Period 07)","London North Eastern Railway","4193","47","66","89.5","2.13","[z]"
"Apr 2019 to Mar 2020 (Period 08)","London North Eastern Railway","4021","99","188","237.5","5.91","[z]"
"Apr 2019 to Mar 2020 (Period 09)","London North Eastern Railway","4023","68","79","113.0","2.81","[z]"
"Apr 2019 to Mar 2020 (Period 10)","London North Eastern Railway","3801","67","75","108.5","2.85","[z]"
"Apr 2019 to Mar 2020 (Period 11)","London North Eastern Railway","4024","68","48","82.0","2.04","[z]"
"Apr 2019 to Mar 2020 (Period 12)","London North Eastern Railway","4125","98","75","124.0","3.01","[z]"
"Apr 2019 to Mar 2020 (Period 13)","London North Eastern Railway","4151","105","68","120.5","2.90","3.03"
"Apr 2020 to Mar 2021 (Period 01)","London North Eastern Railway","2001","1","0","0.5","0.02","2.98"
"Apr 2020 to Mar 2021 (Period 02)","London North Eastern Railway","2228","17","11","19.5","0.88","2.99"
"Apr 2020 to Mar 2021 (Period 03)","London North Eastern Railway","2850","11","4","9.5","0.33","2.82"
"Apr 2020 to Mar 2021 (Period 04)","London North Eastern Railway","3171","13","10","16.5","0.52","2.53"
"Apr 2020 to Mar 2021 (Period 05)","London North Eastern Railway","3283","37","74","92.5","2.82","2.33"
"Apr 2020 to Mar 2021 (Period 06)","London North Eastern Railway","3388","53","67","93.5","2.76","2.45"
"Apr 2020 to Mar 2021 (Period 07)","London North Eastern Railway","3470","64","40","72.0","2.07","2.45"
"Apr 2020 to Mar 2021 (Period 08)","London North Eastern Railway","3480","29","39","53.5","1.54","2.06"
"Apr 2020 to Mar 2021 (Period 09)","London North Eastern Railway","3149","65","92","124.5","3.95","2.13"
"Apr 2020 to Mar 2021 (Period 10)","London North Eastern Railway","3337","46","88","111.0","3.33","2.16"
"Apr 2020 to Mar 2021 (Period 11)","London North Eastern Railway","3370","75","116","153.5","4.55","2.36"
"Apr 2020 to Mar 2021 (Period 12)","London North Eastern Railway","2801","46","73","96.0","3.43","2.37"
"Apr 2020 to Mar 2021 (Period 13)","London North Eastern Railway","3218","51","72","97.5","3.03","2.37"
"Apr 2021 to Mar 2022 (Period 01)","London North Eastern Railway","4118","68","35","69.0","1.68","2.41"
"Apr 2021 to Mar 2022 (Period 02)","London North Eastern Railway","3653","55","158","185.5","5.08","2.71"
"Apr 2021 to Mar 2022 (Period 03)","London North Eastern Railway","3683","51","64","89.5","2.43","2.84"
"Apr 2021 to Mar 2022 (Period 04)","London North Eastern Railway","3924","53","83","109.5","2.79","3.00"
"Apr 2021 to Mar 2022 (Period 05)","London North Eastern Railway","3984","43","42","63.5","1.59","2.89"
"Apr 2021 to Mar 2022 (Period 06)","London North Eastern Railway","3994","68","129","163.0","4.08","3.01"
"Apr 2021 to Mar 2022 (Period 07)","London North Eastern Railway","3797","21","48","58.5","1.54","2.96"
"Apr 2021 to Mar 2022 (Period 08)","London North Eastern Railway","4062","86","119","162.0","3.99","3.15"
"Apr 2021 to Mar 2022 (Period 09)","London North Eastern Railway","3841","125","80","142.5","3.71","3.14"
"Apr 2021 to Mar 2022 (Period 10)","London North Eastern Railway","3745","41","79","99.5","2.66","3.09"
"Apr 2021 to Mar 2022 (Period 11)","London North Eastern Railway","3831","66","80","113.0","2.95","2.98"
"Apr 2021 to Mar 2022 (Period 12)","London North Eastern Railway","4113","94","162","209.0","5.08","3.13"
"Apr 2021 to Mar 2022 (Period 13)","London North Eastern Railway","3929","35","77","94.5","2.41","3.08"
"Apr 2022 to Mar 2023 (Period 01)","London North Eastern Railway","4566","39","31","50.5","1.11","3.01"
"Apr 2022 to Mar 2023 (Period 02)","London North Eastern Railway","4362","41","93","113.5","2.60","2.83"
"Apr 2022 to Mar 2023 (Period 03)","London North Eastern Railway","3981","49","40","64.5","1.62","2.77"
"Apr 2022 to Mar 2023 (Period 04)","London North Eastern Railway","4220","120","258","318.0","7.54","3.15"
"Apr 2022 to Mar 2023 (Period 05)","London North Eastern Railway","3746","141","341","411.5","10.99","3.83"
"Apr 2022 to Mar 2023 (Period 06)","London North Eastern Railway","4233","84","96","138.0","3.26","3.77"
"Apr 2022 to Mar 2023 (Period 07)","London North Eastern Railway","3772","69","79","113.5","3.01","3.87"
"Apr 2022 to Mar 2023 (Period 08)","London North Eastern Railway","4035","97","117","165.5","4.10","3.88"
"Apr 2022 to Mar 2023 (Period 09)","London North Eastern Railway","4052","150","178","253.0","6.24","4.08"
"Apr 2022 to Mar 2023 (Period 10)","London North Eastern Railway","2656","120","210","270.0","10.17","4.49"
"Apr 2022 to Mar 2023 (Period 11)","London North Eastern Railway","3991","81","93","133.5","3.35","4.52"
"Apr 2022 to Mar 2023 (Period 12)","London North Eastern Railway","4106","74","66","103.0","2.51","4.32"
"Apr 2022 to Mar 2023 (Period 13)","London North Eastern Railway","3885","88","99","143.0","3.68","4.41"
"Apr 2023 to Mar 2024 (Period 01)","London North Eastern Railway","4441","81","96","136.5","3.07","4.59"
"Apr 2023 to Mar 2024 (Period 02)","London North Eastern Railway","3967","82","125","166.0","4.18","4.73"
"Apr 2023 to Mar 2024 (Period 03)","London North Eastern Railway","3926","65","74","106.5","2.71","4.82"
"Apr 2023 to Mar 2024 (Period 04)","London North Eastern Railway","4078","35","53","70.5","1.73","4.34"
"Apr 2023 to Mar 2024 (Period 05)","London North Eastern Railway","4194","81","85","125.5","2.99","3.75"
"Apr 2023 to Mar 2024 (Period 06)","London North Eastern Railway","3929","52","48","74.0","1.88","3.65"
"Apr 2023 to Mar 2024 (Period 07)","London North Eastern Railway","4034","125","104","166.5","4.13","3.73"
"Apr 2023 to Mar 2024 (Period 08)","London North Eastern Railway","4268","226","428","541.0","12.68","4.44"
"Apr 2023 to Mar 2024 (Period 09)","London North Eastern Railway","4054","140","129","199.0","4.91","4.34"
"Apr 2023 to Mar 2024 (Period 10)","London North Eastern Railway","3771","203","372","473.5","12.56","4.63"
"Apr 2023 to Mar 2024 (Period 11)","London North Eastern Railway","3978","107","148","201.5","5.07","4.76"
"Apr 2023 to Mar 2024 (Period 12)","London North Eastern Railway","3788","66","83","116.0","3.06","4.82"
"Apr 2023 to Mar 2024 (Period 13)","London North Eastern Railway","4382","79","149","188.5","4.30","4.86"
"Apr 2024 to Mar 2025 (Period 01)","London North Eastern Railway","3958","73","59","95.5","2.41","4.82"
"Apr 2024 to Mar 2025 (Period 02)","London North Eastern Railway","4170","95","119","166.5","3.99","4.81"
"Apr 2024 to Mar 2025 (Period 03)","London North Eastern Railway","4305","120","130","190.0","4.41","4.93"
"Apr 2024 to Mar 2025 (Period 04)","London North Eastern Railway","4315","140","179","249.0","5.77","5.24"
"Apr 2024 to Mar 2025 (Period 05)","London North Eastern Railway","4292","116","240","298.0","6.94","5.56"
"Apr 2024 to Mar 2025 (Period 06)","London North Eastern Railway","4049","98","106","155.0","3.83","5.70"
"Apr 2024 to Mar 2025 (Period 07)","London North Eastern Railway","4165","82","157","198.0","4.75","5.74"
"Apr 2024 to Mar 2025 (Period 08)","London North Eastern Railway","4252","56","30","58.0","1.36","4.84"
"Apr 2024 to Mar 2025 (Period 09)","London North Eastern Railway","4208","105","152","204.5","4.86","4.84"
"Apr 2024 to Mar 2025 (Period 10)","London North Eastern Railway","4134","68","81","115.0","2.78","4.14"
"Apr 2024 to Mar 2025 (Period 11)","London North Eastern Railway","4421","93","123","169.5","3.83","4.05"
"Apr 2024 to Mar 2025 (Period 12)","London North Eastern Railway","4579","74","90","127.0","2.77","4.01"
"Apr 2024 to Mar 2025 (Period 13)","London North Eastern Railway","4987","35","68","85.5","1.71","3.78"
"Apr 2025 to Mar 2026 (Period 01)","London North Eastern Railway","4353","52","85","111.0","2.55","3.78"
"Apr 2025 to Mar 2026 (Period 02)","London North Eastern Railway","4600","50","83","108.0","2.35","3.65"
"Apr 2025 to Mar 2026 (Period 03)","London North Eastern Railway","4632","65","36","68.5","1.48","3.42"
"Apr 2025 to Mar 2026 (Period 04)","London North Eastern Railway","4669","44","85","107.0","2.29","3.15"
"Apr 2025 to Mar 2026 (Period 05)","London North Eastern Railway","4634","134","162","229.0","4.94","3.01"
