"time period","national or operator","number of trains planned","number of trains part cancelled","number of trains full cancelled","cancellation number","periodic cancellations percentage","moving annual average cancellations percentage"
"Apr 2020 to Mar 2021 (Period 07)","c2c","9375","60","46","76.0","0.81","1.35"
"Apr 2020 to Mar 2021 (Period 08)","c2c","9370","112","58","114.0","1.22","1.28"
"Apr 2020 to Mar 2021 (Period 09)","c2c","6885","29","24","38.5","0.56","1.01"
"Apr 2020 to Mar 2021 (Period 10)","c2c","6781","21","19","29.5","0.44","0.92"
"Apr 2020 to Mar 2021 (Period 11)","c2c","7228","100","121","171.0","2.37","1.04"
"Apr 2020 to Mar 2021 (Period 12)","c2c","6731","61","42","72.5","1.08","0.99"
"Apr 2020 to Mar 2021 (Period 13)","c2c","5731","71","45","80.5","1.40","1.03"
"Apr 2021 to Mar 2022 (Period 01)","c2c","8523","57","53","81.5","0.96","1.05"
"Apr 2021 to Mar 2022 (Period 02)","c2c","7907","77","40","78.5","0.99","1.04"
"Apr 2021 to Mar 2022 (Period 03)","c2c","8145","117","121","179.5","2.20","1.13"
"Apr 2021 to Mar 2022 (Period 04)","c2c","8192","83","81","122.5","1.50","1.19"
"Apr 2021 to Mar 2022 (Period 05)","c2c","8568","122","60","121.0","1.41","1.21"
"Apr 2021 to Mar 2022 (Period 06)","c2c","8074","52","53","79.0","0.98","1.23"
"Apr 2021 to Mar 2022 (Period 07)","c2c","8150","146","102","175.0","2.15","1.34"
"Apr 2021 to Mar 2022 (Period 08)","c2c","8062","133","45","111.5","1.38","1.35"
"Apr 2021 to Mar 2022 (Period 09)","c2c","8087","45","22","44.5","0.55","1.34"
"Apr 2021 to Mar 2022 (Period 10)","c2c","7346","41","43","63.5","0.86","1.37"
"Apr 2021 to Mar 2022 (Period 11)","c2c","7774","52","25","51.0","0.66","1.24"
"Apr 2021 to Mar 2022 (Period 12)","c2c","8100","104","158","210.0","2.59","1.36"
"Apr 2021 to Mar 2022 (Period 13)","c2c","7354","63","30","61.5","0.84","1.32"
"Apr 2022 to Mar 2023 (Period 01)","c2c","8495","101","87","137.5","1.62","1.38"
"Apr 2022 to Mar 2023 (Period 02)","c2c","7969","64","60","92.0","1.15","1.39"
"Apr 2022 to Mar 2023 (Period 03)","c2c","7593","176","110","198.0","2.61","1.41"
"Apr 2022 to Mar 2023 (Period 04)","c2c","8195","155","122","199.5","2.43","1.49"
"Apr 2022 to Mar 2023 (Period 05)","c2c","7900","201","137","237.5","3.01","1.61"
"Apr 2022 to Mar 2023 (Period 06)","c2c","8323","76","49","87.0","1.05","1.61"
"Apr 2022 to Mar 2023 (Period 07)","c2c","7665","68","67","101.0","1.32","1.55"
"Apr 2022 to Mar 2023 (Period 08)","c2c","7871","148","97","171.0","2.17","1.61"
"Apr 2022 to Mar 2023 (Period 09)","c2c","8281","191","112","207.5","2.51","1.77"
"Apr 2022 to Mar 2023 (Period 10)","c2c","5317","204","44","146.0","2.75","1.88"
"Apr 2022 to Mar 2023 (Period 11)","c2c","8453","70","22","57.0","0.67","1.88"
"Apr 2022 to Mar 2023 (Period 12)","c2c","8269","128","89","153.0","1.85","1.82"
"Apr 2022 to Mar 2023 (Period 13)","c2c","8011","152","91","167.0","2.08","1.91"
"Apr 2023 to Mar 2024 (Period 01)","c2c","8375","89","43","87.5","1.04","1.86"
"Apr 2023 to Mar 2024 (Period 02)","c2c","8241","180","65","155.0","1.88","1.92"
"Apr 2023 to Mar 2024 (Period 03)","c2c","8255","96","69","117.0","1.42","1.83"
"Apr 2023 to Mar 2024 (Period 04)","c2c","8581","107","38","91.5","1.07","1.72"
"Apr 2023 to Mar 2024 (Period 05)","c2c","8595","19","42","51.5","0.60","1.53"
"Apr 2023 to Mar 2024 (Period 06)","c2c","7896","132","114","180.0","2.28","1.62"
"Apr 2023 to Mar 2024 (Period 07)","c2c","7699","81","66","106.5","1.38","1.63"
"Apr 2023 to Mar 2024 (Period 08)","c2c","8170","67","47","80.5","0.99","1.54"
"Apr 2023 to Mar 2024 (Period 09)","c2c","7710","66","59","92.0","1.19","1.43"
"Apr 2023 to Mar 2024 (Period 10)","c2c","7711","196","67","165.0","2.14","1.42"
"Apr 2023 to Mar 2024 (Period 11)","c2c","7964","122","108","169.0","2.12","1.53"
"Apr 2023 to Mar 2024 (Period 12)","c2c","8412","41","63","83.5","0.99","1.46"
"Apr 2023 to Mar 2024 (Period 13)","c2c","8628","95","69","116.5","1.35","1.41"
"Apr 2024 to Mar 2025 (Period 01)","c2c","7622","198","108","207.0","2.72","1.53"
"Apr 2024 to Mar 2025 (Period 02)","c2c","7886","43","25","46.5","0.59","1.43"
"Apr 2024 to Mar 2025 (Period 03)","c2c","9086","98","92","141.0","1.55","1.44"
"Apr 2024 to Mar 2025 (Period 04)","c2c","9332","135","158","225.5","2.42","1.56"
"Apr 2024 to Mar 2025 (Period 05)","c2c","9250","69","96","130.5","1.41","1.62"
"Apr 2024 to Mar 2025 (Period 06)","c2c","9159","61","37","67.5","0.74","1.50"
"Apr 2024 to Mar 2025 (Period 07)","c2c","9347","105","87","139.5","1.49","1.51"
"Apr 2024 to Mar 2025 (Period 08)","c2c","9257","160","68","148.0","1.60","1.55"
"Apr 2024 to Mar 2025 (Period 09)","c2c","8912","79","53","92.5","1.04","1.54"
"Apr 2024 to Mar 2025 (Period 10)","c2c","8140","113","89","145.5","1.79","1.52"
"Apr 2024 to Mar 2025 (Period 11)","c2c","9200","139","106","175.5","1.91","1.50"
"Apr 2024 to Mar 2025 (Period 12)","c2c","9120","98","159","208.0","2.28","1.60"
"Apr 2024 to Mar 2025 (Period 13)","c2c","9721","181","138","228.5","2.35","1.69"
"Apr 2025 to Mar 2026 (Period 01)","c2c","8477","113","94","150.5","1.78","1.62"
"Apr 2025 to Mar 2026 (Period 02)","c2c","8967","82","144","185.0","2.06","1.73"
"Apr 2025 to Mar 2026 (Period 03)","c2c","9107","127","80","143.5","1.58","1.73"
"Apr 2025 to Mar 2026 (Period 04)","c2c","9250","124","62","124.0","1.34","1.64"
"Apr 2025 to Mar 2026 (Period 05)","c2c","9094","128","93","157.0","1.73","1.67"
"Apr 2025 to Mar 2026 (Period 06)","c2c","9113","95","62","109.5","1.20","1.71"
"Apr 2025 to Mar 2026 (Period 07)","c2c","9285","99","51","100.5","1.08","1.67"
"Apr 2025 to Mar 2026 (Period 08)","c2c","9092","195","74","171.5","1.89","1.70"
"Apr 2025 to Mar 2026 (Period 09)","c2c","9320","116","64","122.0","1.31","1.71"
"Apr 2025 to Mar 2026 (Period 10)","c2c","7942","129","139","203.5","2.56","1.77"
"Apr 2025 to Mar 2026 (Period 11)","c2c","9077","102","48","99.0","1.09","1.70"
"Apr 2019 to Mar 2020 (Period 01)","Caledonian Sleeper","160","3","2","3.5","2.19","[z]"
