line,from_id,to_id
circle,940GZZLUTMP,940GZZLUEMB
circle,940GZZLUEMB,940GZZLUWSM
circle,940GZZLUWSM,940GZZLUSJP
circle,940GZZLUSJP,940GZZLUVIC
circle,940GZZLUVIC,940GZZLUSSQ
circle,940GZZLUSSQ,940GZZLUSKS
circle,940GZZLUSKS,940GZZLUGTR
circle,940GZZLUGTR,940GZZLUHSK
circle,940GZZLUHSK,940GZZLUNHG
circle,940GZZLUNHG,940GZZLUBWT
circle,940GZZLUBWT,940GZZLUPAC
circle,940GZZLUPAC,940GZZLUERC
district,940GZZLUEBY,940GZZLUECM
district,940GZZLUECM,940GZZLUACT
district,940GZZLUACT,940GZZLUCWP
district,940GZZLUCWP,940GZZLUTNG
district,940GZZLUTNG,940GZZLUSFB
district,940GZZLUSFB,940GZZLURVP
district,940GZZLURVP,940GZZLUHSD
district,940GZZLUHSD,940GZZLUBSC
district,940GZZLUBSC,940GZZLUWKN
district,940GZZLUWKN,940GZZLUECT
district,940GZZLUECT,940GZZLUGTR
district,940GZZLUGTR,940GZZLUSKS
district,940GZZLUSKS,940GZZLUSSQ
district,940GZZLUSSQ,940GZZLUVIC
district,940GZZLUVIC,940GZZLUSJP
district,940GZZLUSJP,940GZZLUWSM
district,940GZZLUWSM,940GZZLUEMB
district,940GZZLUEMB,940GZZLUTMP
district,940GZZLUTMP,940GZZLUBKF
district,940GZZLUBKF,940GZZLUMSH
district,940GZZLUMSH,940GZZLUCST
district,940GZZLUCST,940GZZLUMMT
district,940GZZLUMMT,940GZZLUTWH
district,940GZZLUTWH,940GZZLUADE
district,940GZZLUADE,940GZZLUWPL
district,940GZZLUWPL,940GZZLUSGN
district,940GZZLUSGN,940GZZLUMED
district,940GZZLUMED,940GZZLUBWR
district,940GZZLUBWR,940GZZLUBBB
district,940GZZLUBBB,940GZZLUWHM
district,940GZZLUWHM,940GZZLUPLW
district,940GZZLUPLW,940GZZLUUPK
district,940GZZLUUPK,940GZZLUEHM
district,940GZZLUEHM,940GZZLUBKG
district,940GZZLUBKG,940GZZLUUPY
district,940GZZLUUPY,940GZZLUBEC
district,940GZZLUBEC,940GZZLUDGY
district,940GZZLUDGY,940GZZLUDGE
district,940GZZLUDGE,940GZZLUEPK
district,940GZZLUEPK,940GZZLUHCH
district,940GZZLUHCH,940GZZLUUPB
district,940GZZLUUPB,940GZZLUUPM
district,940GZZLUECT,940GZZLUHSK
district,940GZZLUHSK,940GZZLUNHG
district,940GZZLUNHG,940GZZLUBWT
district,940GZZLUBWT,940GZZLUPAC
district,940GZZLUPAC,940GZZLUERC
district,940GZZLUERC,940GZZLUPAC
district,940GZZLUPAC,940GZZLUBWT
district,940GZZLUBWT,940GZZLUNHG
district,940GZZLUNHG,940GZZLUHSK
district,940GZZLUHSK,940GZZLUECT
district,940GZZLUECT,940GZZLUKOY
district,940GZZLUECT,940GZZLUWBN
district,940GZZLUWBN,940GZZLUFBY
district,940GZZLUFBY,940GZZLUPSG
