line,from_id,to_id,from_name,to_name,from_name_clean,to_name_clean
central,940GZZLUWOF,940GZZLUSWF,woodford,south woodford,woodford,south woodford
central,940GZZLUSWF,940GZZLUSNB,south woodford,snaresbrook,south woodford,snaresbrook
central,940GZZLUSNB,940GZZLULYS,snaresbrook,leytonstone,snaresbrook,leytonstone
central,940GZZLULYS,940GZZLULYN,leytonstone,leyton,leytonstone,leyton
central,940GZZLULYN,940GZZLUSTD,leyton,stratford,leyton,stratford
central,940GZZLUSTD,940GZZLUMED,stratford,mile end,stratford,mile end
central,940GZZLUMED,940GZZLUBLG,mile end,bethnal green,mile end,bethnal green
central,940GZZLUBLG,940GZZLULVT,bethnal green,liverpool street,bethnal green,liverpool street
central,940GZZLULVT,940GZZLUBNK,liverpool street,bank,liverpool street,bank
central,940GZZLUBNK,940GZZLUSPU,bank,st. pauls,bank,st. pauls
central,940GZZLUSPU,940GZZLUCHL,st. pauls,chancery lane,st. pauls,chancery lane
central,940GZZLUCHL,940GZZLUHBN,chancery lane,holborn,chancery lane,holborn
central,940GZZLUHBN,940GZZLUTCR,holborn,tottenham court road,holborn,tottenham court road
central,940GZZLUTCR,940GZZLUOXC,tottenham court road,oxford circus,tottenham court road,oxford circus
central,940GZZLUOXC,940GZZLUBND,oxford circus,bond street,oxford circus,bond street
central,940GZZLUBND,940GZZLUMBA,bond street,marble arch,bond street,marble arch
central,940GZZLUMBA,940GZZLULGT,marble arch,lancaster gate,marble arch,lancaster gate
central,940GZZLULGT,940GZZLUQWY,lancaster gate,queensway,lancaster gate,queensway
central,940GZZLUQWY,940GZZLUNHG,queensway,notting hill gate,queensway,notting hill gate
central,940GZZLUNHG,940GZZLUHPK,notting hill gate,holland park,notting hill gate,holland park
central,940GZZLUHPK,940GZZLUSBC,holland park,shepherds bush (central),holland park,shepherds bush (central)
central,940GZZLUSBC,940GZZLUWCY,shepherds bush (central),white city,shepherds bush (central),white city
central,940GZZLUWCY,940GZZLUEAN,white city,east acton,white city,east acton
central,940GZZLUEAN,940GZZLUNAN,east acton,north acton,east acton,north acton
central,940GZZLUNAN,940GZZLUHGR,north acton,hanger lane,north acton,hanger lane
central,940GZZLUHGR,940GZZLUPVL,hanger lane,perivale,hanger lane,perivale
central,940GZZLUPVL,940GZZLUGFD,perivale,greenford,perivale,greenford
central,940GZZLUGFD,940GZZLUNHT,greenford,northolt,greenford,northolt
central,940GZZLUNHT,940GZZLUSRP,northolt,south ruislip,northolt,south ruislip
central,940GZZLUSRP,940GZZLURSG,south ruislip,ruislip gardens,south ruislip,ruislip gardens
central,940GZZLURSG,940GZZLUWRP,ruislip gardens,west ruislip,ruislip gardens,west ruislip
central,940GZZLUNAN,940GZZLUWTA,north acton,west acton,north acton,west acton
central,940GZZLUWTA,940GZZLUEBY,west acton,ealing broadway,west acton,ealing broadway
central,940GZZLUHLT,940GZZLUFLP,hainault,fairlop,hainault,fairlop
central,940GZZLUFLP,940GZZLUBKE,fairlop,barkingside,fairlop,barkingside
central,940GZZLUBKE,940GZZLUNBP,barkingside,newbury park,barkingside,newbury park
central,940GZZLUNBP,940GZZLUGTH,newbury park,gants hill,newbury park,gants hill
central,940GZZLUGTH,940GZZLURBG,gants hill,redbridge,gants hill,redbridge
