station_id,station_name,lat,lon,zone
9400ZZLUSTD3,Stratford Underground Station,51.54233,-0.002541,
9400ZZLUSTD4,Stratford Underground Station,51.540512,-0.0035,
9400ZZLUSTD5,Stratford Underground Station,51.54051,-0.003356,
9400ZZLUSTD6,Stratford Underground Station,51.540507,-0.003212,
9400ZZLUSTM,Stanmore Underground Station,51.619839,-0.303266,
9400ZZLUSTM1,Stanmore Underground Station,51.619175,-0.302742,
9400ZZLUSUH,Sudbury Hill Underground Station,51.556946,-0.336435,
9400ZZLUSUH1,Sudbury Hill Underground Station,51.557043,-0.336951,
9400ZZLUSUH2,Sudbury Hill Underground Station,51.557005,-0.336837,
9400ZZLUSUT,Sudbury Town Underground Station,51.550815,-0.315745,
9400ZZLUSUT1,Sudbury Town Underground Station,51.550797,-0.315774,
9400ZZLUSUT2,Sudbury Town Underground Station,51.55076,-0.315689,
9400ZZLUSVS,Seven Sisters Underground Station,51.58333,-0.072584,
9400ZZLUSVS1,Seven Sisters Underground Station,51.582433,-0.073863,
9400ZZLUSVS2,Seven Sisters Underground Station,51.58239,-0.07398,
9400ZZLUSWC,Swiss Cottage Underground Station,51.543681,-0.174894,
9400ZZLUSWC1,Swiss Cottage Underground Station,51.543606,-0.175229,
9400ZZLUSWC2,Swiss Cottage Station,51.543615,-0.174695,
9400ZZLUSWF,South Woodford Underground Station,51.591907,0.027338,
9400ZZLUSWF1,South Woodford Underground Station,51.591753,0.02736,
9400ZZLUSWF2,South Woodford Underground Station,51.591682,0.027342,
9400ZZLUSWK,Southwark Underground Station,51.503976,-0.10494,
9400ZZLUSWK1,Southwark Underground Station,51.504302,-0.105632,
9400ZZLUSWK2,Southwark Underground Station,51.50427,-0.105331,
9400ZZLUSWN,South Wimbledon Underground Station,51.415309,-0.192005,
9400ZZLUSWN1,South Wimbledon Underground Station,51.415078,-0.19282,
9400ZZLUSWN2,South Wimbledon Station,51.415225,-0.192411,
9400ZZLUTAW,Totteridge & Whetstone Underground Station,51.630597,-0.17921,
9400ZZLUTAW1,Totteridge & Whetstone Underground Station,51.63057,-0.179226,
9400ZZLUTAW2,Totteridge & Whetstone Underground Station,51.630507,-0.179228,
9400ZZLUTBC,Tooting Bec Underground Station,51.435678,-0.159736,
9400ZZLUTBC1,Tooting Bec Underground Station,51.435856,-0.159024,
9400ZZLUTBC2,Tooting Bec Station,51.43585,-0.159211,
9400ZZLUTBY,Tooting Broadway Underground Station,51.42763,-0.168374,
9400ZZLUTBY1,Tooting Broadway Underground Station,51.427843,-0.168178,
9400ZZLUTBY2,Tooting Broadway Station,51.427806,-0.168136,
9400ZZLUTCR,Tottenham Court Road Underground Station,51.516426,-0.13041,
9400ZZLUTCR1,Tottenham Court Road Underground Station,51.516408,-0.131549,
9400ZZLUTCR2,Tottenham Court Road Underground Station,51.515941,-0.13043,
9400ZZLUTCR3,Tottenham Court Road Underground Station,51.515904,-0.130402,
9400ZZLUTCR4,Tottenham Court Road Underground Station,51.51594,-0.130401,
9400ZZLUTFP,Tufnell Park Underground Station,51.556822,-0.138433,
9400ZZLUTFP1,Tufnell Park Underground Station,51.556803,-0.138391,
9400ZZLUTFP2,Tufnell Park Underground Station,51.556741,-0.138422,
9400ZZLUTHB,Theydon Bois Underground Station,51.671759,0.103085,
9400ZZLUTHB1,Theydon Bois Underground Station,51.671479,0.103651,
9400ZZLUTHB2,Theydon Bois Underground Station,51.671426,0.10362,
9400ZZLUTMH,Tottenham Hale Underground Station,51.588108,-0.060241,
9400ZZLUTMH1,Tottenham Hale Underground Station,51.588309,-0.061532,
9400ZZLUTMH2,Tottenham Hale,51.587929,-0.061374,
