station_removed,num_components,largest_component_size,avg_shortest_path,components_norm,largest_component_loss,largest_component_loss_norm,avg_shortest_path_norm,failure_impact_score,station_display,station,degree_centrality,betweenness_centrality,closeness_centrality,betweenness_norm,degree_norm,closeness_norm,propagation_risk_score
high street kensington,1,271,14.136039360393603,0.0,0,0.0,0.2151068176245537,0.0645320452873661,High Street Kensington,high street kensington,0.011070110701107,0.0713543802104687,0.0947883875480937,0.20134939347201,0.3333333333333333,0.6970452785707791,0.1867009769888815
highbury and islington,1,271,14.170671040043734,0.0,0,0.0,0.2240722945141393,0.0672216883542417,Highbury And Islington,highbury and islington,0.007380073800738,0.0942736094027607,0.0969241773962804,0.2660233894215526,0.16666666666666669,0.7246999645323906,0.18651153455038216
hounslow east,2,265,13.596798170383076,0.5,6,0.2727272727272727,0.0755076276403126,0.3044704701102756,Hounslow East,hounslow east,0.007380073800738,0.043460434604346,0.055738379267791,0.12263763095977624,0.16666666666666669,0.19141701336156353,0.18599328984630414
becontree,2,265,13.548799313893651,0.5,6,0.2727272727272727,0.0630816453336522,0.3007426754182775,Becontree,becontree,0.007380073800738,0.043460434604346,0.0539088919832902,0.12263763095977624,0.16666666666666669,0.16772840169099798,0.1848749514387047
hatton cross,2,268,13.721952037564984,0.5,3,0.1363636363636363,0.1079075607419522,0.2732813591316766,Hatton Cross,hatton cross,0.011070110701107,0.0219762197621976,0.0479815864022662,0.06201299074947175,0.3333333333333333,0.09098031967305388,0.17965756978090552
ladbroke grove,2,266,13.890793020286566,0.5,5,0.2272727272727272,0.1516172492092148,0.3136669929445826,Ladbroke Grove,ladbroke grove,0.007380073800738,0.036353696870302,0.0771200910643141,0.10258367872736,0.16666666666666669,0.4682722131166093,0.17872527058038812
parsons green,2,266,13.86066108667896,0.5,5,0.2272727272727272,0.1438166701692523,0.3113268192325939,Parsons Green,parsons green,0.007380073800738,0.036353696870302,0.0734218369005689,0.10258367872736,0.16666666666666669,0.4203863887732515,0.1780232184667915
wood green,2,266,13.840062420201448,0.5,5,0.2272727272727272,0.1384840709385436,0.3097270394633813,Wood Green,wood green,0.007380073800738,0.036353696870302,0.0710912906610703,0.10258367872736,0.16666666666666669,0.3902099533776684,0.17754328453602775
golders green,2,266,13.830188679245284,0.5,5,0.2272727272727272,0.1359279489932456,0.3089602028797918,Golders Green,golders green,0.007380073800738,0.036353696870302,0.0700258397932816,0.10258367872736,0.16666666666666669,0.3764142565860395,0.17731323356095086
eastcote,2,266,13.825422045680238,0.5,5,0.2272727272727272,0.1346939590886185,0.3085900059084037,Eastcote,eastcote,0.007380073800738,0.036353696870302,0.0695228322216521,0.10258367872736,0.16666666666666669,0.36990120173584606,0.17720217446953446
