station_removed,station_display,propagation_risk_score,failure_impact_score,betweenness_centrality,degree_centrality
barons court,Barons Court,0.29558593473266925,0.1028939552017377,0.1403710428638677,0.011070110701107
moor park,Moor Park,0.29490642033598086,0.5219514657706026,0.0507858411917452,0.011070110701107
hammersmith (distandpicc line),Hammersmith (Distandpicc Line),0.2891474494332522,0.0994294741558489,0.1365443379301518,0.011070110701107
preston road,Preston Road,0.28635449541409896,0.1639872762921974,0.1444633610357267,0.007380073800738
rayners lane,Rayners Lane,0.27915414143105804,0.3358225778206417,0.0791975417108668,0.011070110701107
northwick park,Northwick Park,0.2778965381202801,0.1584190570621938,0.1396526462619123,0.007380073800738
warwick avenue,Warwick Avenue,0.2715720672988589,0.3945926802802796,0.0849528495284952,0.007380073800738
finchley central,Finchley Central,0.2694972058732006,0.5046147955727845,0.0364630312969796,0.011070110701107
kennington,Kennington,0.25972767620674314,0.2894160363855936,0.051670766707667,0.014760147601476
maida vale,Maida Vale,0.2573867195947409,0.3791888299437274,0.078174115074484,0.007380073800738
north harrow,North Harrow,0.25572110191041153,0.3736367709959628,0.078174115074484,0.007380073800738
plaistow,Plaistow,0.2520058126095538,0.3612524733264372,0.078174115074484,0.007380073800738
north acton,North Acton,0.25178992097522673,0.3313943957005011,0.06074438522163,0.011070110701107
warren street,Warren Street,0.24826439073836837,0.063018457673568,0.1153100086556419,0.011070110701107
kentish town,Kentish Town,0.24601871436039574,0.3734332231247825,0.071340713407134,0.007380073800738
woodford,Woodford,0.24510027994610928,0.3076601063731314,0.0610496104961049,0.011070110701107
kilburn park,Kilburn Park,0.24330149600331324,0.3643758286011741,0.071340713407134,0.007380073800738
pinner,Pinner,0.24195284377856974,0.3598803211853625,0.071340713407134,0.007380073800738
south ealing,South Ealing,0.24000746101243003,0.3533957119648968,0.071340713407134,0.007380073800738
moorgate,Moorgate,0.23944969739169011,0.0657993830229026,0.0848457929023734,0.014760147601476
upton park,Upton Park,0.23840679485363309,0.3480601581022404,0.071340713407134,0.007380073800738
tufnell park,Tufnell Park,0.23183032153205818,0.3585334262775604,0.0644526445264452,0.007380073800738
queens park,Queens Park,0.22931306522631692,0.3501425719250896,0.0644526445264452,0.007380073800738
northwood hills,Northwood Hills,0.22827658800892864,0.3466876478671286,0.0644526445264452,0.007380073800738
chalfont and latimer,Chalfont And Latimer,0.2275493954689011,0.4669867866915997,0.0147328139948066,0.011070110701107
northfields,Northfields,0.22637467616558166,0.3403479417226387,0.0644526445264452,0.007380073800738
east ham,East Ham,0.22489730430016558,0.3354233688379184,0.0644526445264452,0.007380073800738
paddington (handc line)-underground,Paddington (Handc Line)-Underground,0.2222653242337302,0.3593020498154012,0.0575099084324176,0.007380073800738
chalk farm,Chalk Farm,0.22009857918612627,0.3520795663233882,0.0575099084324176,0.007380073800738
clapham north,Clapham North,0.21940473386189355,0.3497667485759458,0.0575099084324176,0.007380073800738
archway,Archway,0.2177384230637362,0.3442123792487546,0.0575099084324176,0.007380073800738
kensal green,Kensal Green,0.21541816642880202,0.3364781904656407,0.0575099084324176,0.007380073800738
northwood,Northwood,0.2146891554546082,0.3340481538849946,0.0575099084324176,0.007380073800738
boston manor,Boston Manor,0.21283010984416398,0.3278513351835139,0.0575099084324176,0.007380073800738
barking,Barking,0.21147420353316343,0.3233316474801787,0.0575099084324176,0.007380073800738
royal oak,Royal Oak,0.20765386121615104,0.3435062229074358,0.0505125051250512,0.007380073800738
west brompton,West Brompton,0.20670352796947467,0.3403384454185146,0.0505125051250512,0.007380073800738
manor house,Manor House,0.20605386512852641,0.3381729026153537,0.0505125051250512,0.007380073800738
belsize park,Belsize Park,0.20574245649402229,0.3371348738336734,0.0505125051250512,0.007380073800738
clapham common,Clapham Common,0.20513037745379006,0.3350946103662326,0.0505125051250512,0.007380073800738
highgate,Highgate,0.20373977682729755,0.3304592749445908,0.0505125051250512,0.007380073800738
willesden junction,Willesden Junction,0.2016136075296487,0.3233720439524281,0.0505125051250512,0.007380073800738
osterley,Osterley,0.19937065999406087,0.3158955521671353,0.0505125051250512,0.007380073800738
upney,Upney,0.19813442140622342,0.3117747568743438,0.0505125051250512,0.007380073800738
sloane square,Sloane Square,0.1935290916232898,0.0566562948705481,0.1014938900711757,0.007380073800738
westbourne park,Westbourne Park,0.19314159704723147,0.3282981607800334,0.043460434604346,0.007380073800738
fulham broadway,Fulham Broadway,0.1923163312419809,0.3255472747625315,0.043460434604346,0.007380073800738
turnpike lane,Turnpike Lane,0.1917521664824593,0.3236667255641262,0.043460434604346,0.007380073800738
hampstead,Hampstead,0.19148174039938287,0.3227653052872047,0.043460434604346,0.007380073800738
clapham south,Clapham South,0.19095021327057743,0.3209935481911866,0.043460434604346,0.007380073800738
east finchley,East Finchley,0.18983120878888177,0.3172635332522011,0.043460434604346,0.007380073800738
hanger lane,Hanger Lane,0.18955145766845785,0.3163310295174547,0.043460434604346,0.007380073800738
harlesden,Harlesden,0.18789626353928301,0.3108137157535385,0.043460434604346,0.007380073800738
