station_id,station_name,lat,lon,zone,station_name_clean
4900ZZLUHGD1,hillingdon,51.55372,-0.44813,,hillingdon
4900ZZLUHGR1,hanger lane,51.53013,-0.29275,,hanger lane
4900ZZLUHGT1,highgate,51.57781,-0.14553,,highgate
4900ZZLUHNX1,hatton cross,51.46653,-0.42297,,hatton cross
4900ZZLUHPC1,hyde park corner,51.50493,-0.15203,,hyde park corner
4900ZZLUHPK1,holland park,51.50742,-0.20564,,holland park
4900ZZLUHRC1,heathrow terminals 2 and 3,51.47235,-0.45198,,heathrow terminals 2 and 3
4900ZZLUHSC1,hammersmith stn,51.49339,-0.22503,,hammersmith stn
4900ZZLUHSD1,hammersmith (district and piccadilly),51.4926,-0.22424,,hammersmith (district and piccadilly)
4900ZZLUHSK1,high street kensington,51.50103,-0.19292,,high street kensington
4900ZZLUHTD1,hampstead,51.55663,-0.17836,,hampstead
4900ZZLUHWC1,hounslow central,51.4712,-0.36701,,hounslow central
4900ZZLUHWE1,hounslow east,51.47331,-0.3568,,hounslow east
4900ZZLUHWT1,hounslow west,51.47305,-0.38564,,hounslow west
4900ZZLUHWY1,holloway road,51.5529,-0.11274,,holloway road
4900ZZLUICK1,ickenham,51.56202,-0.4419,,ickenham
4900ZZLUKBN1,kilburn,51.54693,-0.20409,,kilburn
4900ZZLUKBY1,kingsbury,51.58498,-0.2787,,kingsbury
4900ZZLUKNB1,knightsbridge,51.50196,-0.16034,,knightsbridge
4900ZZLUKNG1,kennington,51.48834,-0.1058,,kennington
4900ZZLUKPK1,kilburn park,51.53505,-0.19358,,kilburn park
4900ZZLUKSX1,kings cross,51.5302,-0.12385,,kings cross
4900ZZLULAD1,ladbroke grove,51.51742,-0.21007,,ladbroke grove
4900ZZLULBN1,lambeth north,51.49885,-0.11221,,lambeth north
4900ZZLULGT1,lancaster gate,51.51168,-0.17542,,lancaster gate
4900ZZLULRD1,latimer road,51.5137,-0.21763,,latimer road
4900ZZLULSQ1,leicester square,51.51128,-0.12823,,leicester square
4900ZZLULVT3,primrose street,51.51714,-0.08276,,primrose street
4900ZZLULVT4,liverpool street,51.5178,-0.08156,,liverpool street
4900ZZLULYN1,leyton,51.55649,-0.00582,,leyton
4900ZZLULYS1,leytonstone,51.56836,0.00719,,leytonstone
4900ZZLUMBA1,marble arch,51.51352,-0.16078,,marble arch
4900ZZLUMDN1,morden,51.40203,-0.19469,,morden
4900ZZLUMED1,mile end,51.52525,-0.0334,,mile end
4900ZZLUMHL1,mill hill east,51.60827,-0.20977,,mill hill east
4900ZZLUMMT1,monument,51.51051,-0.08596,,monument
4900ZZLUMRH1,manor house,51.57108,-0.09631,,manor house
4900ZZLUMSH1,mansion house,51.51216,-0.09389,,mansion house
4900ZZLUMTC1,mornington crescent,51.53413,-0.13913,,mornington crescent
