station_removed,num_components,largest_component_size,avg_shortest_path,components_norm,largest_component_loss,largest_component_loss_norm,avg_shortest_path_norm,failure_impact_score,station_display
wood green,2,266,13.840062420201447,0.5,5,0.22727272727272727,0.13848407093854367,0.3097270394633813,Wood Green
golders green,2,266,13.830188679245284,0.5,5,0.22727272727272727,0.1359279489932456,0.30896020287979187,Golders Green
eastcote,2,266,13.825422045680238,0.5,5,0.22727272727272727,0.1346939590886185,0.30859000590840374,Eastcote
woodford,2,266,13.813448716129948,0.5,5,0.22727272727272727,0.13159429397104414,0.3076601063731314,Woodford
balham,2,266,13.81078167115903,0.5,5,0.22727272727272727,0.1309038472386933,0.30745297235342617,Balham
hounslow east,2,265,13.596798170383076,0.5,6,0.2727272727272727,0.07550762764031266,0.3044704701102756,Hounslow East
perivale,2,266,13.759710597247837,0.5,5,0.22727272727272727,0.11768252683197782,0.3034865762314115,Perivale
becontree,2,265,13.548799313893653,0.5,6,0.2727272727272727,0.06308164533365226,0.3007426754182775,Becontree
baker street,1,271,17.167910345770125,0.0,0,0.0,1.0,0.3,Baker Street
latimer road,2,267,13.88527498521585,0.5,4,0.18181818181818182,0.15018873588262413,0.2996020753102418,Latimer Road
stonebridge park,2,266,13.69927649311959,0.5,5,0.22727272727272727,0.10203729768403054,0.29879300748702736,Stonebridge Park
putney bridge,2,267,13.860353130016051,0.5,4,0.18181818181818182,0.14373694610238047,0.29766653837616874,Putney Bridge
bounds green,2,267,13.843316155557433,0.5,4,0.18181818181818182,0.13932640054639497,0.29634337470937305,Bounds Green
brent cross,2,267,13.83514967193264,0.5,4,0.18181818181818182,0.13721225474269927,0.29570913096826434,Brent Cross
ruislip manor,2,267,13.83120723156205,0.5,4,0.18181818181818182,0.13619163263057016,0.2954029443346256,Ruislip Manor
kingsbury,2,268,14.000726703560847,0.5,3,0.13636363636363635,0.18007696894385564,0.2949321815922476,Kingsbury
tooting bec,2,267,13.81909830756667,0.5,4,0.18181818181818182,0.13305686471474582,0.2944625139598783,Tooting Bec
hounslow central,2,266,13.631976166832175,0.5,5,0.22727272727272727,0.08461453545918082,0.2935661788195724,Hounslow Central
seven sisters,2,268,13.969422550170496,0.5,3,0.13636363636363635,0.17197292471023506,0.29250096832216144,Seven Sisters
greenford,2,267,13.77685787502464,0.5,4,0.18181818181818182,0.12212162779907912,0.2911819428851783,Greenford
dagenham heathway,2,266,13.588962973471414,0.5,5,0.22727272727272727,0.07347924560552466,0.2902255918634756,Dagenham Heathway
kennington,2,269,14.105282139488432,0.5,2,0.09090909090909091,0.20714436370955439,0.2894160363855936,Kennington
buckhurst hill,2,267,13.748415983779674,0.5,4,0.18181818181818182,0.11475856827586334,0.2889730250282136,Buckhurst Hill
rickmansworth,2,267,13.746416603306018,0.5,4,0.18181818181818182,0.11424096706185517,0.2888177446640111,Rickmansworth
wembley central,2,267,13.72687336318324,0.5,4,0.18181818181818182,0.10918159744887324,0.28729993378011653,Wembley Central
wood lane,2,268,13.886913745877354,0.5,3,0.13636363636363635,0.15061297955162073,0.2860929847745771,Wood Lane
east putney,2,268,13.86712504891274,0.5,3,0.13636363636363635,0.14549006587536797,0.2845561106717013,East Putney
arnos grove,2,268,13.853597182626196,0.5,3,0.13636363636363635,0.14198796104583913,0.28350547922284264,Arnos Grove
hounslow west,2,267,13.673734899045366,0.5,4,0.18181818181818182,0.09542506940896407,0.2831729753681438,Hounslow West
hendon central,2,268,13.84711275085248,0.5,3,0.13636363636363635,0.14030926616887482,0.28300187075975336,Hendon Central
ruislip,2,268,13.843982335513443,0.5,3,0.13636363636363635,0.1394988617455124,0.28275874943274465,Ruislip
tooting broadway,2,268,13.834367488400693,0.5,3,0.13636363636363635,0.13700976244518612,0.2820120196426467,Tooting Broadway
west finchley,2,268,13.820280619375035,0.5,3,0.13636363636363635,0.13336294254005707,0.28091797367110805,West Finchley
dagenham east,2,267,13.635634028892456,0.5,4,0.18181818181818182,0.0855614857110327,0.28021390025876436,Dagenham East
queensbury,2,269,13.980302946235366,0.5,2,0.09090909090909091,0.17478965033413246,0.27970962237296704,Queensbury
northolt,2,268,13.800827324053888,0.5,3,0.13636363636363635,0.12832685790916415,0.27940714828184016,Northolt
tottenham hale,2,269,13.956999389668757,0.5,2,0.09090909090909091,0.16875680699665124,0.27789976937172267,Tottenham Hale
loughton,2,268,13.778243613393705,0.5,3,0.13636363636363635,0.12248036885490929,0.27765320156556367,Loughton
chorleywood,2,268,13.778159762982838,0.5,3,0.13636363636363635,0.1224586615935692,0.27764668938716164,Chorleywood
gunnersbury,2,269,13.946429562226044,0.5,2,0.09090909090909091,0.16602048162572172,0.2770788717604438,Gunnersbury
north wembley,2,268,13.761138129576835,0.5,3,0.13636363636363635,0.1180520875415382,0.2763247171715524,North Wembley
hatton cross,2,268,13.721952037564984,0.5,3,0.13636363636363635,0.10790756074195228,0.2732813591316766,Hatton Cross
shepherds bush market,2,269,13.895577872718194,0.5,2,0.09090909090909091,0.15285595562857493,0.27312951396129975,Shepherds Bush Market
southfields,2,269,13.880846695888588,0.5,2,0.09090909090909091,0.1490423368045242,0.27198542831408457,Southfields
southgate,2,269,13.870776230372302,0.5,2,0.09090909090909091,0.14643528664796943,0.2712033132671181,Southgate
colindale,2,269,13.865949065083504,0.5,2,0.09090909090909091,0.1451856262423481,0.2708284151454317,Colindale
elm park,2,268,13.688691374587735,0.5,3,0.13636363636363635,0.09929701374373041,0.27069819503221004,Elm Park
ickenham,2,269,13.863618709426843,0.5,2,0.09090909090909091,0.14458234190860011,0.2706474298453073,Ickenham
colliers wood,2,269,13.856461188481385,0.5,2,0.09090909090909091,0.14272939716923078,0.27009154642349653,Colliers Wood
woodside park,2,269,13.845974588026412,0.5,2,0.09090909090909091,0.1400146176673644,0.2692771125729366,Woodside Park
south ruislip,2,269,13.831493092160018,0.5,2,0.09090909090909091,0.1362656364505008,0.26815241820787755,South Ruislip
nine elms,2,270,13.998155032355776,0.5,1,0.045454545454545456,0.17941121264818619,0.2674597274308195,Nine Elms
debden,2,269,13.814681240636963,0.5,2,0.09090909090909091,0.13191337089988878,0.2668467385426939,Debden
south kenton,2,269,13.801947511513067,0.5,2,0.09090909090909091,0.12861685293333663,0.2658577831527283,South Kenton
canons park,2,270,13.967203634861628,0.5,1,0.045454545454545456,0.17139849014273562,0.2650559106791843,Canons Park
blackhorse road,2,270,13.951783009775575,0.5,1,0.045454545454545456,0.16740638640336505,0.2638582795573732,Blackhorse Road
kew gardens,2,270,13.94478865482583,0.5,1,0.045454545454545456,0.16559568220729357,0.2633150682985517,Kew Gardens
