Financial Year,Period,Organisational Name,KPI Name,EJT for Period,EJT Year to Date,Line,Line_clean
2016-17,10,Line Operations - Central Line,Excess Journey Time - Trains,2.6,2.85,Central,central
2016-17,10,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,3.16,3.78,Circle and Hammersmith,circle and hammersmith
2016-17,10,Line Operations - District Line,Excess Journey Time - Trains,3.25,3.25,District,district
2016-17,10,Line Operations - Jubilee Line,Excess Journey Time - Trains,0.5,1.26,Jubilee,jubilee
2016-17,10,Line Operations - Metropolitan Line,Excess Journey Time - Trains,2.18,2.21,Metropolitan,metropolitan
2016-17,10,Line Operations - Northern Line,Excess Journey Time - Trains,0.88,1.51,Northern,northern
2016-17,10,Line Operations - Piccadilly Line,Excess Journey Time - Trains,5.57,3.26,Piccadilly,piccadilly
2016-17,10,Line Operations - Victoria Line,Excess Journey Time - Trains,1.24,1.05,Victoria,victoria
2016-17,10,London Underground Network,Excess Journey Time - Total,4.54,4.6,London Underground Network,london underground network
2016-17,11,Line Operations - Bakerloo Line,Excess Journey Time - Trains,2.67,1.75,Bakerloo,bakerloo
2016-17,11,Line Operations - Central Line,Excess Journey Time - Trains,4.91,3.03,Central,central
2016-17,11,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,4.02,3.8,Circle and Hammersmith,circle and hammersmith
2016-17,11,Line Operations - District Line,Excess Journey Time - Trains,3.43,3.27,District,district
2016-17,11,Line Operations - Jubilee Line,Excess Journey Time - Trains,2.89,1.41,Jubilee,jubilee
2016-17,11,Line Operations - Metropolitan Line,Excess Journey Time - Trains,3.57,2.33,Metropolitan,metropolitan
2016-17,11,Line Operations - Northern Line,Excess Journey Time - Trains,1.25,1.49,Northern,northern
2016-17,11,Line Operations - Piccadilly Line,Excess Journey Time - Trains,4.21,3.35,Piccadilly,piccadilly
2016-17,11,Line Operations - Victoria Line,Excess Journey Time - Trains,3.08,1.24,Victoria,victoria
2016-17,11,London Underground Network,Excess Journey Time - Total,5.75,4.71,London Underground Network,london underground network
2016-17,12,Line Operations - Bakerloo Line,Excess Journey Time - Trains,1.93,1.77,Bakerloo,bakerloo
2016-17,12,Line Operations - Central Line,Excess Journey Time - Trains,3.56,3.08,Central,central
2016-17,12,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,3.57,3.78,Circle and Hammersmith,circle and hammersmith
2016-17,12,Line Operations - District Line,Excess Journey Time - Trains,4.19,3.34,District,district
2016-17,12,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.72,1.44,Jubilee,jubilee
2016-17,12,Line Operations - Metropolitan Line,Excess Journey Time - Trains,3.87,2.46,Metropolitan,metropolitan
2016-17,12,Line Operations - Northern Line,Excess Journey Time - Trains,1.56,1.49,Northern,northern
2016-17,12,Line Operations - Piccadilly Line,Excess Journey Time - Trains,3.31,3.35,Piccadilly,piccadilly
2016-17,12,Line Operations - Victoria Line,Excess Journey Time - Trains,1.08,1.22,Victoria,victoria
2016-17,12,London Underground Network,Excess Journey Time - Total,5.01,4.73,London Underground Network,london underground network
2016-17,13,Line Operations - Bakerloo Line,Excess Journey Time - Trains,2.05,1.79,Bakerloo,bakerloo
2016-17,13,Line Operations - Central Line,Excess Journey Time - Trains,3.14,3.08,Central,central
2016-17,13,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,2.79,3.71,Circle and Hammersmith,circle and hammersmith
2016-17,13,Line Operations - District Line,Excess Journey Time - Trains,3.14,3.33,District,district
2016-17,13,Line Operations - Jubilee Line,Excess Journey Time - Trains,0.94,1.4,Jubilee,jubilee
2016-17,13,Line Operations - Metropolitan Line,Excess Journey Time - Trains,2.87,2.49,Metropolitan,metropolitan
2016-17,13,Line Operations - Northern Line,Excess Journey Time - Trains,1.18,1.47,Northern,northern
2016-17,13,Line Operations - Piccadilly Line,Excess Journey Time - Trains,2.39,3.27,Piccadilly,piccadilly
2016-17,13,Line Operations - Victoria Line,Excess Journey Time - Trains,1.29,1.23,Victoria,victoria
2016-17,13,London Underground Network,Excess Journey Time - Total,4.36,4.7,London Underground Network,london underground network
2017-18,1,Line Operations - Bakerloo Line,Excess Journey Time - Trains,2.07,2.07,Bakerloo,bakerloo
2017-18,1,Line Operations - Central Line,Excess Journey Time - Trains,2.18,2.18,Central,central
2017-18,1,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,2.74,2.74,Circle and Hammersmith,circle and hammersmith
2017-18,1,Line Operations - District Line,Excess Journey Time - Trains,3.06,3.06,District,district
2017-18,1,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.53,1.53,Jubilee,jubilee
2017-18,1,Line Operations - Metropolitan Line,Excess Journey Time - Trains,2.56,2.56,Metropolitan,metropolitan
2017-18,1,Line Operations - Northern Line,Excess Journey Time - Trains,0.94,0.94,Northern,northern
2017-18,1,Line Operations - Piccadilly Line,Excess Journey Time - Trains,2.65,2.65,Piccadilly,piccadilly
2017-18,1,Line Operations - Victoria Line,Excess Journey Time - Trains,0.97,0.97,Victoria,victoria
2017-18,1,London Underground Network,Excess Journey Time - Total,4.04,4.04,London Underground Network,london underground network
2017-18,2,Line Operations - Bakerloo Line,Excess Journey Time - Trains,1.35,1.71,Bakerloo,bakerloo
2017-18,2,Line Operations - Central Line,Excess Journey Time - Trains,2.55,2.37,Central,central
2017-18,2,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,3.09,2.92,Circle and Hammersmith,circle and hammersmith
2017-18,2,Line Operations - District Line,Excess Journey Time - Trains,2.96,3.01,District,district
2017-18,2,Line Operations - Jubilee Line,Excess Journey Time - Trains,0.87,1.2,Jubilee,jubilee
2017-18,2,Line Operations - Metropolitan Line,Excess Journey Time - Trains,1.82,2.19,Metropolitan,metropolitan
2017-18,2,Line Operations - Northern Line,Excess Journey Time - Trains,1.1,1.02,Northern,northern
2017-18,2,Line Operations - Piccadilly Line,Excess Journey Time - Trains,3.03,2.84,Piccadilly,piccadilly
2017-18,2,Line Operations - Victoria Line,Excess Journey Time - Trains,0.88,0.93,Victoria,victoria
2017-18,2,London Underground Network,Excess Journey Time - Total,4.06,4.05,London Underground Network,london underground network
