station,degree_centrality,betweenness_centrality,closeness_centrality
euston square,0.007380073800738007,0.07896770078811897,0.10635792778649922
north harrow,0.007380073800738007,0.07817411507448407,0.0765320530923468
plaistow,0.007380073800738007,0.07817411507448407,0.07213202022890604
maida vale,0.007380073800738007,0.07817411507448407,0.0871662914120296
west harrow,0.007380073800738007,0.07525466894880589,0.07805299539170507
stockwell,0.014760147601476014,0.07495786068971799,0.09167794316644114
snaresbrook,0.007380073800738007,0.07371873718737187,0.06791979949874687
high street kensington,0.01107011070110701,0.07135438021046878,0.09478838754809374
upton park,0.007380073800738007,0.07134071340713406,0.06763164462191165
kentish town,0.007380073800738007,0.07134071340713406,0.08764553686934023
south ealing,0.007380073800738007,0.07134071340713406,0.07053617907339928
kilburn park,0.007380073800738007,0.07134071340713406,0.08067877344447752
pinner,0.007380073800738007,0.07134071340713406,0.07148509628066473
holland park,0.007380073800738007,0.07117215616600611,0.08973509933774834
south woodford,0.007380073800738007,0.06694000273336066,0.06394525719679094
shepherds bush (central),0.007380073800738007,0.06525443032208102,0.08364197530864198
east ham,0.007380073800738007,0.06445264452644527,0.06362996008452688
queens park,0.007380073800738007,0.06445264452644527,0.07504846302963168
tufnell park,0.007380073800738007,0.06445264452644527,0.08104066985645933
northwood hills,0.007380073800738007,0.06445264452644527,0.06702943358891912
northfields,0.007380073800738007,0.06445264452644527,0.06619443087445041
woodford,0.01107011070110701,0.06104961049610496,0.060410164957646006
north acton,0.01107011070110701,0.06074438522163001,0.07195963887413702
white city,0.007380073800738007,0.059992711038221506,0.07903178769320501
pimlico,0.007380073800738007,0.05767391007243405,0.10123272319760926
hyde park corner,0.007380073800738007,0.057532339344557475,0.10985002026753142
barking,0.007380073800738007,0.057509908432417656,0.060048748061156655
boston manor,0.007380073800738007,0.057509908432417656,0.06232750689972401
paddington (handc line)-underground,0.007380073800738007,0.057509908432417656,0.0989051094890511
clapham north,0.007380073800738007,0.057509908432417656,0.08442367601246106
northwood,0.007380073800738007,0.057509908432417656,0.06306725622527344
chalk farm,0.007380073800738007,0.057509908432417656,0.08753229974160207
kensal green,0.007380073800738007,0.057509908432417656,0.07011642949547219
archway,0.007380073800738007,0.057509908432417656,0.07531962201222901
east acton,0.007380073800738007,0.055181996264407104,0.07504846302963168
knightsbridge,0.007380073800738007,0.0536600783997258,0.10335621662852784
vauxhall,0.007380073800738007,0.05292241811307,0.09495444989488437
ealing common,0.01107011070110701,0.05279416709511009,0.07186422699549191
kennington,0.014760147601476014,0.05167076670766709,0.09941305942773294
marble arch,0.007380073800738007,0.05120267869345361,0.10848678943154523
moor park,0.01107011070110701,0.05078584119174525,0.059521194816604436
highgate,0.007380073800738007,0.050512505125051246,0.07031655422937208
upney,0.007380073800738007,0.050512505125051246,0.0568253302579157
belsize park,0.007380073800738007,0.050512505125051246,0.0808472553699284
clapham common,0.007380073800738007,0.050512505125051246,0.07818811309867282
west brompton,0.007380073800738007,0.050512505125051246,0.08540813110620864
manor house,0.007380073800738007,0.050512505125051246,0.08227079538554949
royal oak,0.007380073800738007,0.050512505125051246,0.09045393858477971
willesden junction,0.007380073800738007,0.050512505125051246,0.06576073768502791
osterley,0.007380073800738007,0.050512505125051246,0.05886185925282363
lancaster gate,0.007380073800738007,0.04725297252972531,0.10253499810821037
queensway,0.007380073800738007,0.0440822741560749,0.09822399420079739
becontree,0.007380073800738007,0.043460434604346045,0.053908891983290234
clapham south,0.007380073800738007,0.043460434604346045,0.07277121374865736
east finchley,0.007380073800738007,0.043460434604346045,0.06590466926070039
westbourne park,0.007380073800738007,0.043460434604346045,0.08328211432083589
harlesden,0.007380073800738007,0.043460434604346045,0.06188627540534369
turnpike lane,0.007380073800738007,0.043460434604346045,0.07629504504504504
fulham broadway,0.007380073800738007,0.043460434604346045,0.07898571844943165
hampstead,0.007380073800738007,0.043460434604346045,0.07506925207756232
hanger lane,0.007380073800738007,0.043460434604346045,0.06734592445328032
hounslow east,0.007380073800738007,0.043460434604346045,0.05573837926779103
farringdon,0.007380073800738007,0.04165527766388776,0.10176492677431469
angel,0.007380073800738007,0.041655277663887755,0.10176492677431469
old street,0.007380073800738007,0.04013370689262448,0.09955914768552535
barbican,0.007380073800738007,0.04013370689262448,0.09955914768552535
south harrow,0.007380073800738007,0.039702757874139585,0.07125953194846174
wanstead,0.007380073800738007,0.03886838868388684,0.06775
finchley central,0.01107011070110701,0.036463031296979635,0.06198536139066789
ladbroke grove,0.007380073800738007,0.03635369687030204,0.07712009106431417
hounslow central,0.007380073800738007,0.03635369687030204,0.05290901991409606
golders green,0.007380073800738007,0.03635369687030204,0.07002583979328166
perivale,0.007380073800738007,0.03635369687030204,0.06325863678804855
wood green,0.007380073800738007,0.03635369687030204,0.07109129066107031
balham,0.007380073800738007,0.03635369687030204,0.06802208835341365
stonebridge park,0.007380073800738007,0.03635369687030204,0.058417762448803624
